Code;Country;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099
AFG;Afghanistan;0.033345365;0.032269332;0.031260574;0.030312973;0.029421131;0.028580267;0.027786132;0.027034936;0.026323288;0.025648144;0.034387446;0.033244261;0.032174639;0.031171701;0.030229399;0.029342396;0.028505963;0.027715894;0.02696844;0.026260242;0.029379453;0.028540936;0.027748955;0.02699974;0.026289919;0.025616464;0.024976651;0.024368019;0.023788345;0.023235608;0.025748465;0.025102124;0.024487437;0.023902135;0.02334416;0.022811641;0.022302876;0.02181631;0.02135052;0.020904205;0.021499619;0.021047115;0.020613265;0.02019694;0.019797099;0.019412782;0.019043103;0.01868724;0.018344433;0.018013977;0.017436935;0.017138099;0.016849334;0.016570138;0.016300044;0.016038614;0.015785437;0.01554013;0.015302329;0.015071697;0.014454703;0.014248742;0.014048567;0.013853939;0.01366463;0.013480425;0.013301121;0.013126523;0.01295645;0.012790728;0.011698222;0.011562956;0.011430782;0.011301596;0.011175297;0.01105179;0.010930983;0.010812789;0.010697123;0.010583906;0.00890239;0.008823836;0.008746657;0.008670817;0.00859628;0.008523014;0.008450986;0.008380165;0.008310522;0.008242026
AGO;Angola;0.033590567;0.032498911;0.031475976;0.030515471;0.029611852;0.028760209;0.027956183;0.02719589;0.026475855;0.025792965;0.030854015;0.029930538;0.029060735;0.028240058;0.02746446;0.026730326;0.026034417;0.025373825;0.024745926;0.024148353;0.023923121;0.023364177;0.022830755;0.022321146;0.021833791;0.021367263;0.020920254;0.020491565;0.020080093;0.01968482;0.019802996;0.019418452;0.019048559;0.018692494;0.018349496;0.018018859;0.017699926;0.017392088;0.017094774;0.016807454;0.015604064;0.015364318;0.015131828;0.014906269;0.014687335;0.01447474;0.014268211;0.014067493;0.013872344;0.013682535;0.011910514;0.011770323;0.011633394;0.011499615;0.011368877;0.011241078;0.011116121;0.010993912;0.01087436;0.01075738;0.009438615;0.00935036;0.009263741;0.009178712;0.009095229;0.009013252;0.008932739;0.008853651;0.008775952;0.008699605;0.007335499;0.007282081;0.007229436;0.007177546;0.007126396;0.00707597;0.007026252;0.006977229;0.006928884;0.006881205;0.005375194;0.005346455;0.005318023;0.005289891;0.005262055;0.005234511;0.005207254;0.005180279;0.005153582;0.005127158
ALB;Albania;0.004134416;0.004117393;0.00410051;0.004083765;0.004067155;0.00405068;0.004034339;0.004018128;0.004002047;0.003986095;0.004414877;0.004395471;0.004376236;0.004357168;0.004338265;0.004319526;0.004300948;0.004282529;0.004264267;0.00424616;0.001953338;0.00194953;0.001945736;0.001941958;0.001938194;0.001934445;0.00193071;0.001926989;0.001923283;0.001919591;0.000766804;0.000766216;0.000765629;0.000765044;0.000764459;0.000763875;0.000763292;0.00076271;0.000762128;0.000761548;0.000541957;0.000541663;0.00054137;0.000541077;0.000540785;0.000540492;0.0005402;0.000539909;0.000539617;0.000539326;-0.000690981;-0.000691459;-0.000691938;-0.000692417;-0.000692896;-0.000693377;-0.000693858;-0.00069434;-0.000694822;-0.000695305;-0.001287553;-0.001289212;-0.001290877;-0.001292545;-0.001294218;-0.001295895;-0.001297577;-0.001299263;-0.001300953;-0.001302648;-0.000429731;-0.000429916;-0.000430101;-0.000430286;-0.000430471;-0.000430657;-0.000430842;-0.000431028;-0.000431214;-0.0004314;0.000575611;0.000575279;0.000574949;0.000574618;0.000574288;0.000573959;0.000573629;0.000573301;0.000572972;0.000572644
ARE;Algeria;0.040450118;0.038877518;0.03742262;0.036072685;0.034816751;0.03364533;0.032550169;0.031524056;0.03056066;0.029654402;0.015311377;0.015080474;0.014856432;0.01463895;0.014427743;0.014222544;0.014023099;0.013829172;0.013640534;0.013456974;0.010871909;0.010754982;0.010640543;0.010528514;0.010418819;0.010311387;0.010206147;0.010103034;0.010001984;0.009902935;0.007760612;0.007700848;0.007641998;0.007584041;0.007526956;0.007470725;0.007415327;0.007360744;0.00730696;0.007253955;0.005084251;0.005058532;0.005033072;0.005007867;0.004982913;0.004958207;0.004933745;0.004909522;0.004885537;0.004861784;0.003015743;0.003006675;0.002997662;0.002988703;0.002979798;0.002970945;0.002962144;0.002953396;0.002944699;0.002936053;0.002462875;0.002456824;0.002450803;0.002444811;0.002438848;0.002432915;0.00242701;0.002421134;0.002415286;0.002409467;0.002156615;0.002151974;0.002147353;0.002142752;0.00213817;0.002133608;0.002129065;0.002124542;0.002120038;0.002115553;0.000369871;0.000369734;0.000369598;0.000369461;0.000369325;0.000369188;0.000369052;0.000368916;0.00036878;0.000368644
ARG;Argentina;0.009480602;0.009391564;0.009304183;0.009218413;0.00913421;0.009051532;0.008970337;0.008890585;0.008812239;0.008735262;0.009252912;0.009168081;0.009084791;0.009003;0.008922669;0.008843759;0.008766233;0.008690054;0.008615187;0.0085416;0.008071013;0.008006394;0.007942801;0.00788021;0.007818597;0.007757941;0.007698219;0.007639409;0.007581491;0.007524444;0.007299679;0.00724678;0.007194642;0.007143249;0.007092584;0.007042634;0.006993382;0.006944814;0.006896917;0.006849675;0.00643455;0.006393412;0.006352796;0.006312692;0.006273092;0.006233986;0.006195364;0.006157218;0.006119539;0.006082318;0.005629932;0.005598414;0.005567246;0.005536423;0.00550594;0.005475791;0.00544597;0.005416472;0.005387292;0.005358424;0.00534765;0.005319204;0.00529106;0.005263212;0.005235656;0.005208387;0.0051814;0.005154691;0.005128257;0.005102092;0.005427178;0.005397883;0.005368902;0.005340231;0.005311865;0.005283798;0.005256026;0.005228545;0.005201349;0.005174435;0.005519988;0.005489685;0.005459712;0.005430066;0.005400739;0.005371728;0.005343027;0.005314631;0.005286535;0.005258734
ARM;Armenia;0.000305489;0.000305395;0.000305302;0.000305209;0.000305116;0.000305023;0.00030493;0.000304837;0.000304744;0.000304651;4.73436E-05;4.73413E-05;4.73391E-05;4.73368E-05;4.73346E-05;4.73324E-05;4.73301E-05;4.73279E-05;4.73256E-05;4.73234E-05;-0.000708657;-0.000709159;-0.000709663;-0.000710167;-0.000710671;-0.000711177;-0.000711683;-0.00071219;-0.000712697;-0.000713206;-0.001495946;-0.001498188;-0.001500435;-0.00150269;-0.001504952;-0.00150722;-0.001509495;-0.001511777;-0.001514066;-0.001516362;-0.001799365;-0.001802608;-0.001805864;-0.001809131;-0.00181241;-0.0018157;-0.001819003;-0.001822318;-0.001825645;-0.001828984;-0.001486114;-0.001488326;-0.001490544;-0.001492769;-0.001495001;-0.001497239;-0.001499485;-0.001501736;-0.001503995;-0.00150626;-0.000922336;-0.000923188;-0.000924041;-0.000924895;-0.000925752;-0.000926609;-0.000927469;-0.00092833;-0.000929192;-0.000930057;0.000524045;0.000523771;0.000523497;0.000523223;0.000522949;0.000522676;0.000522403;0.00052213;0.000521858;0.000521585;0.002045184;0.00204101;0.002036852;0.002032712;0.002028589;0.002024482;0.002020391;0.002016318;0.00201226;0.002008219
AUS;Australia;0.012896465;0.012732263;0.012572191;0.012416093;0.012263825;0.012115245;0.011970223;0.011828632;0.011690351;0.011555266;0.00674662;0.006701409;0.006656799;0.006612779;0.006569337;0.006526463;0.006484144;0.006442371;0.006401132;0.006360418;0.003954476;0.0039389;0.003923446;0.003908112;0.003892899;0.003877803;0.003862823;0.003847959;0.003833209;0.003818572;0.002022741;0.002018657;0.002014591;0.00201054;0.002006506;0.002002488;0.001998486;0.0019945;0.00199053;0.001986576;-9.02065E-05;-9.02146E-05;-9.02228E-05;-9.02309E-05;-9.02391E-05;-9.02472E-05;-9.02554E-05;-9.02635E-05;-9.02716E-05;-9.02798E-05;-0.002330375;-0.002335819;-0.002341288;-0.002346782;-0.002352302;-0.002357849;-0.002363421;-0.00236902;-0.002374646;-0.002380298;-0.004360979;-0.00438008;-0.00439935;-0.00441879;-0.004438402;-0.004458189;-0.004478154;-0.004498298;-0.004518624;-0.004539135;-0.006271822;-0.006311406;-0.006351493;-0.006392092;-0.006433214;-0.006474868;-0.006517065;-0.006559816;-0.006603131;-0.006647023;-0.00793318;-0.007996619;-0.00806108;-0.008126589;-0.008193172;-0.008260855;-0.008329665;-0.008399631;-0.008470782;-0.008543149
AUT;Austria;0.001543015;0.001540638;0.001538268;0.001535905;0.00153355;0.001531202;0.001528861;0.001526527;0.0015242;0.001521881;-0.001417417;-0.001419429;-0.001421446;-0.00142347;-0.001425499;-0.001427534;-0.001429574;-0.001431621;-0.001433674;-0.001435732;-0.003430458;-0.003442267;-0.003454157;-0.00346613;-0.003478185;-0.003490325;-0.00350255;-0.003514861;-0.003527259;-0.003539745;-0.005341701;-0.005370388;-0.005399385;-0.005428696;-0.005458328;-0.005488285;-0.005518572;-0.005549196;-0.005580161;-0.005611474;-0.00755154;-0.007609;-0.007667341;-0.007726583;-0.007786748;-0.007847857;-0.007909933;-0.007972999;-0.008037079;-0.008102197;-0.009165962;-0.009250754;-0.00933713;-0.009425134;-0.009514812;-0.009606213;-0.009699388;-0.009794387;-0.009891266;-0.009990081;-0.010290449;-0.010397443;-0.010506686;-0.010618248;-0.010732205;-0.010848635;-0.010967619;-0.011089241;-0.011213592;-0.011340762;-0.011538492;-0.011673183;-0.011811056;-0.011952224;-0.012096808;-0.012244933;-0.01239673;-0.012552338;-0.012711902;-0.012875575;-0.012462911;-0.012620195;-0.0127815;-0.012946982;-0.013116805;-0.013291142;-0.013470176;-0.013654099;-0.013843115;-0.014037436
AZE;Azerbaijan;0.010901664;0.010784099;0.010669043;0.010556416;0.010446142;0.010338149;0.010232365;0.010128724;0.010027162;0.009927616;0.005670396;0.005638424;0.005606811;0.00557555;0.005544635;0.005514062;0.005483824;0.005453915;0.005424331;0.005395067;0.003892955;0.003877859;0.003862879;0.003848015;0.003833264;0.003818626;0.0038041;0.003789684;0.003775376;0.003761176;0.002386415;0.002380734;0.002375079;0.002369452;0.002363851;0.002358276;0.002352728;0.002347205;0.002341709;0.002336238;0.001107241;0.001106016;0.001104794;0.001103575;0.001102358;0.001101145;0.001099933;0.001098725;0.001097519;0.001096316;0.00112901;0.001127737;0.001126466;0.001125199;0.001123934;0.001122672;0.001121413;0.001120157;0.001118904;0.001117653;0.001415085;0.001413086;0.001411092;0.001409103;0.001407121;0.001405143;0.001403172;0.001401206;0.001399245;0.00139729;0.002283542;0.002278339;0.00227316;0.002268004;0.002262872;0.002257763;0.002252677;0.002247614;0.002242573;0.002237556;0.002660414;0.002653355;0.002646333;0.002639349;0.002632401;0.00262549;0.002618615;0.002611775;0.002604972;0.002598204
BDI;Burundi;0.029159269;0.028333096;0.02755245;0.026813668;0.02611347;0.025448911;0.024817336;0.024216351;0.023643785;0.023097669;0.019425988;0.01905581;0.018699477;0.018356225;0.018025348;0.017706187;0.017398133;0.017100614;0.0168131;0.016535094;0.014826421;0.01460981;0.014399437;0.014195036;0.013996357;0.013803163;0.01361523;0.013432346;0.013254309;0.01308093;0.012768628;0.012607646;0.012450672;0.012297559;0.012148166;0.01200236;0.011860012;0.011721;0.01158521;0.01145253;0.009275237;0.009189998;0.009106311;0.009024134;0.008943428;0.008864152;0.008786269;0.008709743;0.008634538;0.008560621;0.006540821;0.006498317;0.006456361;0.006414944;0.006374055;0.006333683;0.00629382;0.006254456;0.006215581;0.006177186;0.005172063;0.00514545;0.00511911;0.005093038;0.005067231;0.005041683;0.005016392;0.004991354;0.004966564;0.004942019;0.003166515;0.003156519;0.003146587;0.003136717;0.003126909;0.003117162;0.003107475;0.003097849;0.003088282;0.003078774;0.001476202;0.001474026;0.001471857;0.001469694;0.001467537;0.001465386;0.001463242;0.001461104;0.001458972;0.001456847
