Code;Country;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099
AFG;Afghanistan;0.024945212;0.024338093;0.023759824;0.023208397;0.022681984;0.022178922;0.021697691;0.021236899;0.020795272;0.020371638;0.018718467;0.018374524;0.018042993;0.017723213;0.017414571;0.017116495;0.01682845;0.016549941;0.016280499;0.016019691;0.013478625;0.013299367;0.013124816;0.012954786;0.012789106;0.01262761;0.012470142;0.012316553;0.012166701;0.012020452;0.008140727;0.008074991;0.008010308;0.007946653;0.007884001;0.00782233;0.007761616;0.007701837;0.007642972;0.007585001;0.004013958;0.00399791;0.00398199;0.003966197;0.003950529;0.003934983;0.00391956;0.003904257;0.003889073;0.003874007;0.001652987;0.001650259;0.00164754;0.00164483;0.001642129;0.001639437;0.001636754;0.001634079;0.001631413;0.001628756;-0.000181185;-0.000181218;-0.000181251;-0.000181284;-0.000181317;-0.00018135;-0.000181383;-0.000181416;-0.000181448;-0.000181481;-0.001676791;-0.001679608;-0.001682434;-0.001685269;-0.001688114;-0.001690968;-0.001693833;-0.001696707;-0.00169959;-0.001702484;-0.00293437;-0.002943006;-0.002951693;-0.002960431;-0.002969221;-0.002978064;-0.002986959;-0.002995908;-0.00300491;-0.003013967
AGO;Angola;0.029100356;0.028277472;0.027499846;0.026763844;0.026066212;0.025404025;0.024774649;0.024175705;0.023605036;0.023060688;0.021835483;0.021368883;0.020921808;0.020493056;0.020081524;0.019686195;0.019306131;0.018940464;0.018588391;0.018249169;0.015894546;0.015645862;0.01540484;0.015171131;0.014944408;0.014724361;0.0145107;0.014303151;0.014101456;0.01390537;0.011101618;0.010979725;0.01086048;0.010743797;0.010629595;0.010517795;0.010408322;0.010301105;0.010196074;0.010093164;0.007316951;0.007263803;0.00721142;0.007159788;0.00710889;0.00705871;0.007009234;0.006960447;0.006912334;0.006864881;0.004270063;0.004251907;0.004233905;0.004216054;0.004198354;0.004180801;0.004163395;0.004146133;0.004129014;0.004112035;0.001520801;0.001518491;0.001516189;0.001513894;0.001511605;0.001509324;0.001507049;0.001504781;0.00150252;0.001500266;-0.000945186;-0.00094608;-0.000946976;-0.000947874;-0.000948773;-0.000949674;-0.000950577;-0.000951481;-0.000952388;-0.000953295;-0.003179106;-0.003189245;-0.003199449;-0.003209718;-0.003220053;-0.003230456;-0.003240925;-0.003251463;-0.00326207;-0.003272745
ALB;Albania;0.000373642;0.000373502;0.000373363;0.000373224;0.000373084;0.000372945;0.000372806;0.000372667;0.000372528;0.00037239;-0.002131205;-0.002135757;-0.002140328;-0.002144919;-0.002149529;-0.00215416;-0.00215881;-0.002163481;-0.002168171;-0.002172883;-0.003008421;-0.003017498;-0.003026631;-0.00303582;-0.003045064;-0.003054365;-0.003063722;-0.003073138;-0.003082611;-0.003092143;-0.003875685;-0.003890764;-0.003905961;-0.003921278;-0.003936715;-0.003952274;-0.003967956;-0.003983763;-0.003999697;-0.004015759;-0.005287878;-0.005315988;-0.005344399;-0.005373115;-0.005402142;-0.005431483;-0.005461145;-0.005491133;-0.005521452;-0.005552108;-0.007195609;-0.007247761;-0.007300675;-0.007354367;-0.007408854;-0.007464155;-0.007520288;-0.007577271;-0.007635124;-0.007693868;-0.009535134;-0.009626928;-0.009720506;-0.009815922;-0.00991323;-0.010012486;-0.010113749;-0.010217082;-0.010322549;-0.010430215;-0.013109342;-0.013283479;-0.013462306;-0.013646012;-0.013834802;-0.014028889;-0.014228499;-0.014433872;-0.014645259;-0.014862931;-0.016109799;-0.016373574;-0.01664613;-0.016927914;-0.017219403;-0.017521106;-0.01783357;-0.018157381;-0.018493168;-0.018841609
ARE;Algeria;0.05360347;0.050876323;0.048413235;0.046177627;0.044139375;0.042273452;0.040558888;0.038977984;0.037515698;0.036159161;0.025305792;0.024681214;0.024086725;0.0235202;0.022979713;0.022463508;0.021969985;0.021497681;0.021045257;0.020611483;0.017233549;0.016941585;0.01665935;0.016386363;0.016122179;0.015866379;0.015618569;0.01537838;0.015145468;0.014919505;0.009986786;0.009888036;0.00979122;0.009696282;0.009603167;0.009511823;0.009422201;0.009334252;0.009247929;0.009163189;0.004586349;0.00456541;0.004544662;0.004524102;0.004503726;0.004483534;0.004463521;0.004443687;0.004424028;0.004404542;-0.000105229;-0.00010524;-0.000105251;-0.000105262;-0.000105273;-0.000105284;-0.000105295;-0.000105306;-0.000105317;-0.000105328;-0.004598612;-0.004619857;-0.004641299;-0.004662941;-0.004684786;-0.004706837;-0.004729096;-0.004751566;-0.004774252;-0.004797154;-0.007735827;-0.007796136;-0.007857393;-0.007919621;-0.007982842;-0.008047081;-0.008112361;-0.00817871;-0.008246153;-0.008314717;-0.011180567;-0.011306985;-0.011436295;-0.011568597;-0.011703996;-0.011842602;-0.01198453;-0.012129901;-0.012278842;-0.012431486
ARG;Argentina;0.006228616;0.006190061;0.006151979;0.006114364;0.006077206;0.006040496;0.006004228;0.005968392;0.005932982;0.005897989;0.003081686;0.003072219;0.003062809;0.003053457;0.003044162;0.003034923;0.00302574;0.003016613;0.00300754;0.002998522;0.001138657;0.001137362;0.00113607;0.00113478;0.001133494;0.001132211;0.00113093;0.001129653;0.001128378;0.001127106;-0.00097155;-0.000972494;-0.000973441;-0.00097439;-0.00097534;-0.000976292;-0.000977246;-0.000978202;-0.00097916;-0.00098012;-0.002750148;-0.002757732;-0.002765359;-0.002773027;-0.002780738;-0.002788492;-0.00279629;-0.002804131;-0.002812016;-0.002819946;-0.004141076;-0.004158296;-0.004175659;-0.004193169;-0.004210825;-0.004228631;-0.004246589;-0.004264699;-0.004282965;-0.004301387;-0.005574374;-0.005605622;-0.005637222;-0.00566918;-0.005701503;-0.005734197;-0.005767267;-0.005800722;-0.005834566;-0.005868808;-0.007827114;-0.007888861;-0.00795159;-0.008015324;-0.008080089;-0.008145909;-0.008212809;-0.008280818;-0.008349963;-0.008420272;-0.009864254;-0.009962526;-0.010062777;-0.010165066;-0.010269456;-0.010376012;-0.010484802;-0.010595898;-0.010709373;-0.010825306
ARM;Armenia;-0.003835296;-0.003850062;-0.003864942;-0.003879938;-0.00389505;-0.003910281;-0.003925632;-0.003941103;-0.003956697;-0.003972414;-0.007721123;-0.007781203;-0.007842225;-0.007904212;-0.007967186;-0.008031172;-0.008096194;-0.008162277;-0.008229448;-0.008297734;-0.009070858;-0.009153892;-0.009238459;-0.009324604;-0.009412371;-0.009501806;-0.009592956;-0.009685872;-0.009780606;-0.009877211;-0.011308108;-0.011437444;-0.011569773;-0.011705199;-0.011843834;-0.011985791;-0.012131193;-0.012280166;-0.012432844;-0.012589365;-0.013062619;-0.013235509;-0.013413038;-0.013595393;-0.013782775;-0.013975395;-0.014173475;-0.014377251;-0.014586971;-0.014802901;-0.013284464;-0.013463317;-0.013647051;-0.01383587;-0.014029987;-0.014229629;-0.014435034;-0.014646456;-0.014864163;-0.01508844;-0.013857592;-0.014052323;-0.014252606;-0.01445868;-0.0146708;-0.014889237;-0.015114277;-0.015346224;-0.015585401;-0.015832152;-0.014500766;-0.014714132;-0.014933871;-0.015160272;-0.015393644;-0.015634313;-0.015882627;-0.016138956;-0.016403695;-0.016677264;-0.014972745;-0.015200336;-0.015434952;-0.015676925;-0.015926605;-0.016184367;-0.01645061;-0.016725759;-0.017010268;-0.017304624
AUS;Australia;0.020551531;0.020137671;0.01974015;0.01935802;0.018990403;0.018636489;0.018295525;0.017966812;0.017649703;0.017343594;0.020471321;0.020060653;0.019666137;0.01928684;0.018921896;0.018570507;0.018231931;0.017905479;0.017590513;0.017286435;0.017578793;0.017275117;0.016981755;0.016698191;0.01642394;0.016158553;0.015901606;0.015652703;0.015411472;0.015177563;0.016295335;0.016034055;0.015781021;0.01553585;0.015298179;0.015067671;0.014844007;0.014626885;0.014416024;0.014211155;0.014552882;0.014344134;0.014141289;0.013944101;0.013752337;0.013565776;0.013384209;0.013207438;0.013035275;0.012867543;0.011388718;0.011260475;0.011135089;0.011012464;0.010892511;0.010775142;0.010660276;0.010547834;0.010437738;0.010329917;0.008461193;0.008390202;0.008320392;0.008251734;0.0081842;0.008117763;0.008052396;0.007988073;0.007924769;0.007862461;0.005377278;0.005348517;0.005320063;0.005291909;0.005264052;0.005236487;0.005209209;0.005182214;0.005155497;0.005129054;0.00303454;0.00302536;0.003016234;0.003007164;0.002998148;0.002989186;0.002980278;0.002971422;0.002962619;0.002953867
AUT;Austria;0.0056583;0.005626464;0.005594984;0.005563854;0.005533069;0.005502622;0.005472509;0.005442724;0.005413261;0.005384115;0.007088691;0.007038795;0.006989596;0.006941081;0.006893235;0.006846043;0.006799494;0.006753573;0.006708268;0.006663567;0.006725508;0.006680578;0.006636244;0.006592494;0.006549318;0.006506704;0.00646464;0.006423117;0.006382124;0.006341651;0.006908248;0.006860851;0.006814101;0.006767983;0.006722485;0.006677595;0.006633301;0.00658959;0.006546452;0.006503874;0.006450307;0.006408967;0.006368154;0.006327857;0.006288067;0.006248774;0.00620997;0.006171644;0.006133788;0.006096394;0.004323909;0.004305293;0.004286837;0.004268539;0.004250396;0.004232406;0.004214569;0.004196881;0.00417934;0.004161946;0.00256957;0.002562984;0.002556432;0.002549913;0.002543428;0.002536975;0.002530555;0.002524168;0.002517812;0.002511489;0.000777154;0.00077655;0.000775948;0.000775346;0.000774745;0.000774145;0.000773547;0.000772949;0.000772352;0.000771756;-0.000682392;-0.000682858;-0.000683325;-0.000683792;-0.00068426;-0.000684729;-0.000685198;-0.000685668;-0.000686138;-0.000686609
AZE;Azerbaijan;0.009399574;0.009312044;0.00922613;0.009141787;0.009058972;0.008977643;0.008897763;0.008819291;0.008742191;0.008666427;0.004059031;0.004042622;0.004026345;0.004010199;0.003994181;0.003978291;0.003962527;0.003946887;0.003931371;0.003915976;0.001869139;0.001865651;0.001862177;0.001858716;0.001855268;0.001851832;0.001848409;0.001844999;0.001841601;0.001838216;-0.001006446;-0.00100746;-0.001008476;-0.001009494;-0.001010514;-0.001011536;-0.001012561;-0.001013587;-0.001014615;-0.001015646;-0.003337391;-0.003348566;-0.003359817;-0.003371143;-0.003382546;-0.003394027;-0.003405586;-0.003417223;-0.003428941;-0.003440739;-0.005015074;-0.005040352;-0.005065885;-0.005091679;-0.005117737;-0.005144063;-0.005170661;-0.005197536;-0.005224692;-0.005252132;-0.007421788;-0.007477283;-0.007533614;-0.0075908;-0.007648861;-0.007707817;-0.007767689;-0.007828498;-0.007890267;-0.007953018;-0.009280459;-0.009367393;-0.009455971;-0.00954624;-0.009638249;-0.009732048;-0.009827692;-0.009925234;-0.010024732;-0.010126245;-0.009851084;-0.009949094;-0.010049073;-0.010151082;-0.010255183;-0.010361442;-0.010469925;-0.010580704;-0.010693853;-0.010809447
BDI;Burundi;0.030068751;0.029191014;0.028363067;0.027580791;0.026840509;0.026138927;0.025473088;0.024840328;0.024238242;0.023664652;0.021194032;0.020754167;0.020332189;0.019927029;0.019537701;0.019163294;0.018802967;0.018455941;0.018121492;0.017798948;0.014922522;0.014703115;0.014490066;0.014283103;0.014081968;0.01388642;0.013696229;0.013511177;0.013331058;0.013155679;0.010781648;0.010666644;0.010554068;0.010443843;0.010335896;0.010230158;0.010126562;0.010025043;0.009925539;0.009827991;0.006467651;0.006426089;0.006385058;0.006344548;0.006304548;0.00626505;0.006226044;0.00618752;0.00614947;0.006111885;0.002655447;0.002648414;0.002641419;0.00263446;0.002627538;0.002620652;0.002613802;0.002606988;0.002600209;0.002593466;-0.000567375;-0.000567697;-0.000568019;-0.000568342;-0.000568665;-0.000568989;-0.000569313;-0.000569637;-0.000569962;-0.000570287;-0.003238663;-0.003249186;-0.003259777;-0.003270438;-0.003281169;-0.003291971;-0.003302844;-0.003313788;-0.003324806;-0.003335897;-0.00537738;-0.005406452;-0.005435841;-0.005465551;-0.005495587;-0.005525956;-0.005556661;-0.00558771;-0.005619108;-0.005650861
