Code;Country;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099
AFG;Afghanistan;0.03243333;0.031414455;0.030457644;0.029557396;0.028708837;0.027907641;0.02714995;0.026432314;0.025751639;0.02510514;0.032580782;0.031552768;0.030587644;0.029679808;0.028824308;0.028016745;0.027253199;0.026530167;0.025844508;0.025193397;0.027906816;0.027149169;0.026431574;0.025750936;0.025104473;0.024489672;0.023904265;0.023346191;0.022813581;0.02230473;0.024504692;0.023918575;0.023359841;0.022826615;0.022317189;0.021830004;0.021363636;0.020916778;0.02048823;0.02007689;0.020326823;0.019921874;0.019532745;0.019158527;0.018798377;0.018451519;0.018117228;0.017794835;0.017483715;0.017183288;0.01669013;0.016416142;0.016151005;0.015894296;0.01564562;0.015404605;0.015170903;0.014944187;0.014724146;0.014510492;0.014139108;0.013941981;0.013750275;0.013563769;0.013382255;0.013205536;0.013033422;0.012865738;0.012702313;0.012542988;0.011665514;0.011530999;0.011399551;0.011271066;0.011145445;0.011022593;0.01090242;0.010784839;0.010669768;0.010557126;0.009119651;0.009037235;0.008956295;0.008876792;0.008798687;0.008721946;0.008646531;0.00857241;0.008499548;0.008427915
AGO;Angola;0.034093962;0.032969888;0.031917569;0.030930347;0.030002364;0.029128442;0.028303991;0.027524925;0.026787599;0.026088744;0.03141605;0.030459144;0.029558808;0.028710169;0.0279089;0.027151142;0.026433444;0.025752711;0.025106159;0.024491277;0.024164626;0.023594475;0.023050608;0.022531249;0.022034778;0.021559714;0.021104703;0.0206685;0.020249964;0.019848042;0.019876913;0.019489522;0.019116942;0.01875834;0.018412943;0.018080037;0.017758954;0.017449077;0.017149828;0.016860671;0.015565062;0.015326504;0.015095149;0.014870674;0.014652777;0.014441174;0.014235595;0.014035787;0.013841511;0.013652539;0.011762578;0.011625828;0.011492221;0.011361651;0.011234014;0.011109213;0.010987154;0.010867748;0.01075091;0.010636558;0.00919057;0.009106872;0.009024686;0.008943969;0.008864684;0.008786792;0.008710256;0.008635043;0.008561117;0.008488447;0.006985081;0.006936628;0.006888843;0.006841711;0.00679522;0.006749357;0.006704108;0.006659463;0.006615408;0.006571932;0.004905903;0.004881953;0.004858235;0.004834747;0.004811485;0.004788445;0.004765625;0.004743022;0.004720632;0.004698452
ALB;Albania;0.001373164;0.001371281;0.001369403;0.00136753;0.001365663;0.0013638;0.001361943;0.001360091;0.001358243;0.001356401;-0.000711544;-0.000712051;-0.000712558;-0.000713066;-0.000713575;-0.000714084;-0.000714595;-0.000715106;-0.000715617;-0.00071613;-0.00261678;-0.002623645;-0.002630547;-0.002637485;-0.00264446;-0.002651471;-0.00265852;-0.002665607;-0.002672731;-0.002679894;-0.00434949;-0.00436849;-0.004387658;-0.004406994;-0.004426502;-0.004446183;-0.00446604;-0.004486075;-0.00450629;-0.004526689;-0.005985908;-0.006021955;-0.006058438;-0.006095367;-0.006132748;-0.006170591;-0.006208903;-0.006247695;-0.006286974;-0.00632675;-0.008183935;-0.008251464;-0.008320117;-0.008389922;-0.008460909;-0.008533107;-0.008606547;-0.008681263;-0.008757287;-0.008834655;-0.010763799;-0.010880919;-0.011000616;-0.011122975;-0.011248087;-0.011376046;-0.01150695;-0.011640901;-0.011778008;-0.011918382;-0.012742246;-0.012906707;-0.013075468;-0.013248701;-0.013426586;-0.013609312;-0.013797081;-0.013990104;-0.014188604;-0.014392818;-0.013692656;-0.013882748;-0.014078192;-0.014279217;-0.014486067;-0.014698998;-0.014918282;-0.015144207;-0.015377081;-0.015617228
ARE;Algeria;0.046242214;0.044198383;0.042327573;0.040608705;0.039023991;0.037558316;0.036198752;0.034934178;0.033754976;0.032652782;0.019616006;0.019238621;0.018875483;0.0185258;0.018188837;0.017863913;0.017550394;0.017247691;0.016955252;0.016672564;0.013340592;0.013164964;0.0129939;0.012827224;0.01266477;0.01250638;0.012351902;0.012201194;0.01205412;0.011910548;0.008228024;0.008160876;0.008094815;0.008029815;0.007965851;0.007902898;0.007840932;0.00777993;0.00771987;0.00766073;0.003842812;0.003828101;0.003813503;0.003799015;0.003784637;0.003770368;0.003756205;0.003742149;0.003728198;0.00371435;-0.00082832;-0.000829006;-0.000829694;-0.000830383;-0.000831073;-0.000831764;-0.000832457;-0.00083315;-0.000833845;-0.000834541;-0.004867511;-0.00489132;-0.004915362;-0.004939643;-0.004964164;-0.00498893;-0.005013944;-0.00503921;-0.005064732;-0.005090514;-0.007326557;-0.007380631;-0.00743551;-0.007491211;-0.007547753;-0.007605155;-0.007663436;-0.007722618;-0.007782721;-0.007843767;-0.009604734;-0.009697879;-0.009792849;-0.009889698;-0.009988481;-0.010089257;-0.010192088;-0.010297036;-0.010404168;-0.010513553
ARG;Argentina;0.006978645;0.006930281;0.006882583;0.006835536;0.006789129;0.006743348;0.006698179;0.006653612;0.006609634;0.006566234;0.004129307;0.004112326;0.004095484;0.004078779;0.00406221;0.004045776;0.004029473;0.004013302;0.00399726;0.003981345;0.001938888;0.001935136;0.001931398;0.001927675;0.001923967;0.001920272;0.001916592;0.001912925;0.001909273;0.001905635;-0.000341835;-0.000341952;-0.000342069;-0.000342186;-0.000342303;-0.00034242;-0.000342537;-0.000342655;-0.000342772;-0.00034289;-0.002372556;-0.002378199;-0.002383868;-0.002389564;-0.002395288;-0.002401039;-0.002406818;-0.002412625;-0.00241846;-0.002424323;-0.0041403;-0.004157513;-0.00417487;-0.004192373;-0.004210023;-0.004227822;-0.004245773;-0.004263876;-0.004282135;-0.00430055;-0.005720883;-0.0057538;-0.005787098;-0.005820783;-0.005854863;-0.005889345;-0.005924234;-0.00595954;-0.005995269;-0.006031429;-0.006836012;-0.006883065;-0.00693077;-0.006979141;-0.007028192;-0.007077937;-0.007128391;-0.00717957;-0.007231489;-0.007284164;-0.007673552;-0.007732891;-0.007793154;-0.007854365;-0.007916544;-0.007979716;-0.008043904;-0.008109133;-0.008175429;-0.008242817
ARM;Armenia;-0.00258793;-0.002594645;-0.002601394;-0.002608179;-0.002615;-0.002621856;-0.002628748;-0.002635676;-0.002642642;-0.002649644;-0.005473044;-0.005503163;-0.005533616;-0.005564407;-0.005595543;-0.005627029;-0.005658872;-0.005691077;-0.00572365;-0.005756599;-0.007020367;-0.007070001;-0.007120342;-0.007171405;-0.007223205;-0.00727576;-0.007329084;-0.007383196;-0.007438114;-0.007493854;-0.009296222;-0.009383453;-0.009472336;-0.009562919;-0.009655252;-0.009749385;-0.009845371;-0.009943266;-0.010043127;-0.010145015;-0.010819488;-0.01093783;-0.011058789;-0.011182453;-0.011308915;-0.011438269;-0.011570617;-0.011706063;-0.011844718;-0.011986697;-0.011468558;-0.011601611;-0.011737789;-0.011877201;-0.012019964;-0.012166202;-0.012316041;-0.012469617;-0.012627072;-0.012788554;-0.012678818;-0.012841635;-0.013008688;-0.013180144;-0.013356181;-0.013536983;-0.013722748;-0.013913682;-0.014110004;-0.014311945;-0.013050365;-0.013222929;-0.013400117;-0.013582119;-0.013769133;-0.013961369;-0.014159049;-0.014362407;-0.014571692;-0.014787166;-0.012244524;-0.012396311;-0.012551909;-0.012711462;-0.012875124;-0.013043054;-0.013215424;-0.01339241;-0.013574202;-0.013760996
AUS;Australia;0.015891153;0.015642575;0.015401653;0.01516804;0.014941408;0.014721449;0.014507872;0.014300404;0.014098786;0.013902773;0.012228291;0.012080566;0.011936368;0.011795572;0.011658058;0.011523714;0.011392431;0.011264105;0.011138639;0.011015936;0.009470489;0.00938164;0.009294443;0.009208852;0.009124822;0.009042313;0.008961282;0.008881691;0.008803501;0.008726676;0.007510189;0.007454206;0.007399052;0.007344708;0.007291157;0.007238381;0.007186363;0.007135088;0.007084539;0.007034701;0.005563204;0.005532426;0.005501987;0.00547188;0.005442102;0.005412646;0.005383507;0.00535468;0.00532616;0.005297942;0.002998333;0.00298937;0.00298046;0.002971603;0.002962799;0.002954047;0.002945346;0.002936697;0.002928098;0.002919549;0.000425616;0.000425435;0.000425254;0.000425073;0.000424892;0.000424712;0.000424532;0.000424351;0.000424171;0.000423992;-0.002189113;-0.002193916;-0.00219874;-0.002203585;-0.002208452;-0.00221334;-0.002218249;-0.002223181;-0.002228135;-0.00223311;-0.004987023;-0.005012018;-0.005037265;-0.005062768;-0.00508853;-0.005114555;-0.005140849;-0.005167414;-0.005194254;-0.005221376
AUT;Austria;0.002993528;0.002984593;0.002975712;0.002966883;0.002958107;0.002949382;0.002940709;0.002932087;0.002923515;0.002914993;0.001608533;0.001605949;0.001603374;0.001600808;0.001598249;0.001595699;0.001593157;0.001590623;0.001588096;0.001585578;0.000310397;0.000310301;0.000310204;0.000310108;0.000310012;0.000309916;0.00030982;0.000309724;0.000309628;0.000309532;-0.000919589;-0.000920435;-0.000921283;-0.000922133;-0.000922984;-0.000923837;-0.000924691;-0.000925547;-0.000926404;-0.000927263;-0.002629339;-0.00263627;-0.002643239;-0.002650244;-0.002657286;-0.002664366;-0.002671484;-0.00267864;-0.002685834;-0.002693067;-0.004507241;-0.004527649;-0.004548241;-0.004569023;-0.004589994;-0.004611159;-0.004632521;-0.004654081;-0.004675843;-0.004697809;-0.00596666;-0.006002474;-0.006038722;-0.006075409;-0.006112546;-0.006150139;-0.006188197;-0.006226729;-0.006265744;-0.006305251;-0.007587067;-0.007645071;-0.007703968;-0.00776378;-0.007824528;-0.007886234;-0.007948921;-0.008012612;-0.008077333;-0.008143108;-0.009455672;-0.009545935;-0.009637938;-0.009731732;-0.009827369;-0.009924905;-0.010024396;-0.010125902;-0.010229485;-0.010335209
AZE;Azerbaijan;0.009021518;0.008940857;0.008861627;0.008783788;0.008707305;0.008632142;0.008558266;0.008485644;0.008414244;0.008344035;0.003113918;0.003104252;0.003094645;0.003085098;0.003075609;0.003066179;0.003056806;0.003047491;0.003038232;0.003029029;0.000459564;0.000459353;0.000459142;0.000458931;0.000458721;0.00045851;0.0004583;0.00045809;0.00045788;0.000457671;-0.002630584;-0.002637522;-0.002644497;-0.002651509;-0.002658558;-0.002665645;-0.00267277;-0.002679932;-0.002687134;-0.002694374;-0.005127496;-0.005153923;-0.005180624;-0.005207602;-0.005234863;-0.005262411;-0.005290251;-0.005318386;-0.005346823;-0.005375565;-0.007100874;-0.007151657;-0.007203171;-0.007255433;-0.007308459;-0.007362266;-0.007416871;-0.007472292;-0.007528548;-0.007585657;-0.009312848;-0.009400392;-0.009489598;-0.009580513;-0.009673187;-0.009767672;-0.00986402;-0.009962289;-0.010062534;-0.010164818;-0.010274145;-0.010380799;-0.01048969;-0.01060089;-0.010714473;-0.010830516;-0.010949101;-0.011070311;-0.011194234;-0.011320964;-0.010885303;-0.011005097;-0.011127557;-0.011252773;-0.011380839;-0.011511853;-0.011645919;-0.011783145;-0.011923643;-0.012067532
BDI;Burundi;0.031405221;0.030448965;0.029549222;0.028701126;0.027900354;0.027143053;0.026425777;0.025745434;0.025099243;0.024484696;0.022613164;0.022113117;0.021634706;0.021176557;0.02073741;0.020316107;0.019911581;0.01952285;0.019149007;0.018789212;0.017046364;0.016760656;0.016484367;0.01621704;0.015958244;0.015707579;0.015464666;0.015229153;0.015000705;0.014779009;0.014496532;0.014289386;0.014088076;0.013892359;0.013702006;0.013516799;0.013336531;0.013161009;0.012990047;0.01282347;0.010935428;0.010817138;0.01070138;0.010588073;0.01047714;0.010368508;0.010262105;0.010157864;0.010055719;0.009955609;0.007666208;0.007607884;0.007550442;0.00749386;0.007438119;0.007383202;0.00732909;0.007275765;0.007223211;0.00717141;0.00582775;0.005793984;0.005760607;0.005727613;0.005694994;0.005662745;0.005630859;0.00559933;0.005568152;0.005537319;0.003476257;0.003464215;0.003452255;0.003440378;0.003428583;0.003416868;0.003405232;0.003393676;0.003382198;0.003370797;0.001306171;0.001304467;0.001302768;0.001301073;0.001299382;0.001297696;0.001296014;0.001294337;0.001292663;0.001290995
