Code;Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099
AFG;Afghanistan;0.132889326;0.117301243;0.104986228;0.095011345;0.086767453;0.058036362;0.054852899;0.05200052;0.049430127;0.047101876;0.044983088;0.043046714;0.041270169;0.039634448;0.038123447;0.094234299;0.086118941;0.079290525;0.073465413;0.068437616;0.064053918;0.060198;0.05677996;0.053729218;0.050989587;0.125302048;0.111349702;0.100193217;0.091068747;0.083467469;0.077037356;0.071527097;0.066752486;0.062575421;0.058890333;0.112679447;0.101268562;0.091956281;0.08421242;0.077671514;0.072073459;0.067228098;0.062993186;0.059260197;0.055944892;0.090710909;0.083166775;0.076781136;0.071306167;0.066560027;0.062406264;0.05874049;0.05548148;0.052565091;0.049939991;0.07090778;0.066212779;0.062100905;0.058469873;0.055239998;0.052348279;0.049744253;0.047387021;0.045243086;0.04328475;0.05553679;0.052614737;0.049984799;0.04760526;0.045441983;0.043466767;0.04165611;0.039990271;0.038452543;0.037028696;0.044222305;0.042349512;0.040628898;0.039042639;0.037575589;0.036214796;0.034949121;0.033768927;0.032665836;0.031632533;0.035914379;0.034669254;0.033507572;0.032421215;0.031403089;0.030446961;0.029547334;0.028699345;0.027898671;0.027141461
AGO;Angola;0.156814607;0.13555725;0.119375091;0.106644406;0.096367365;0.075943903;0.070583515;0.065929948;0.061852046;0.058249213;0.055043001;0.052171334;0.049584448;0.04724198;0.045110854;0.052112514;0.049531313;0.047193744;0.04506687;0.043123432;0.04134068;0.039699477;0.038183607;0.036779243;0.035474517;0.051931727;0.049367963;0.047045426;0.0449316;0.042999561;0.041226826;0.039594471;0.038086458;0.0366891;0.035390649;0.065409843;0.061394066;0.057842858;0.05468001;0.051845118;0.049289689;0.046974338;0.044866752;0.042940166;0.041172224;0.070716384;0.06604586;0.061954051;0.058339672;0.05512377;0.052243889;0.049649981;0.047301464;0.04516509;0.043213355;0.061822209;0.05822275;0.055019371;0.052150105;0.049565271;0.047224572;0.045094981;0.04314917;0.041364333;0.039721289;0.04876629;0.04649872;0.044432658;0.042542387;0.040806386;0.03920651;0.037727352;0.036355746;0.035080373;0.033891448;0.037547537;0.036188739;0.034924853;0.033746269;0.032644635;0.031612651;0.030643916;0.029732787;0.028874274;0.028063948;0.028857892;0.028048473;0.02728322;0.026558615;0.025871504;0.025219049;0.024598694;0.024008125;0.023445249;0.022908161
ALB;Albania;0.056077204;0.053099531;0.050422139;0.048001786;0.045803153;0.023454879;0.022917355;0.022403917;0.02191298;0.021443098;0.020992944;0.020561302;0.020147052;0.019749165;0.019366689;0.041129298;0.039504506;0.038003208;0.03661184;0.035318756;0.034113895;0.032988528;0.031935038;0.030946753;0.030017799;0.045375892;0.043406292;0.041600566;0.039939078;0.038405209;0.0369848;0.035665711;0.034437474;0.033291015;0.032218431;0.033873251;0.032763446;0.031724057;0.030748587;0.029831316;0.028967187;0.028151711;0.027380892;0.026651159;0.025959314;0.02470413;0.024108549;0.023541009;0.022999576;0.022482488;0.02198814;0.021515064;0.021061916;0.020627462;0.020210569;0.017520956;0.017219258;0.016927774;0.016645995;0.016373442;0.016109672;0.015854265;0.01560683;0.015367;0.015134429;0.011009633;0.010889741;0.010772432;0.010657624;0.010545236;0.010435195;0.010327426;0.010221861;0.010118431;0.010017074;0.006284157;0.006244913;0.006206156;0.006167877;0.006130068;0.006092719;0.006055823;0.00601937;0.005983354;0.005947767;0.00302266;0.003013551;0.003004496;0.002995496;0.00298655;0.002977657;0.002968817;0.002960029;0.002951293;0.002942609
ARE;Algeria;0.033880649;0.032770368;0.031730546;0.030754683;0.029837054;0.078268823;0.072587486;0.067675119;0.063385498;0.059607262;0.056254109;0.053258121;0.050565118;0.04813135;0.045921105;0.062519483;0.058840788;0.055570949;0.052645395;0.050012469;0.047630357;0.04546485;0.043487689;0.041675325;0.04000798;0.053426289;0.050716685;0.048268659;0.046046076;0.044019166;0.042163178;0.040457367;0.038884214;0.037428824;0.03607845;0.032618638;0.031588272;0.030621007;0.02971122;0.028853934;0.028044733;0.027279682;0.026555263;0.025868323;0.025216026;0.021002286;0.020570263;0.020155656;0.019757432;0.019374639;0.019006397;0.018651892;0.018310369;0.017981128;0.017663518;0.014837523;0.01462059;0.014409909;0.014205213;0.014006251;0.013812786;0.013624592;0.013441458;0.013263181;0.013089572;0.008467818;0.008396716;0.008326799;0.008258036;0.008190399;0.008123861;0.008058396;0.007993977;0.007930581;0.007868181;0.005170248;0.005143654;0.005117332;0.005091278;0.005065489;0.005039959;0.005014685;0.004989663;0.00496489;0.004940362;0.001911009;0.001907364;0.001903733;0.001900115;0.001896512;0.001892922;0.001889346;0.001885783;0.001882233;0.001878697
ARG;Argentina;0.077021064;0.071513053;0.066740254;0.062564672;0.058880813;0.048345959;0.046116417;0.044083446;0.042222148;0.040511659;0.038934363;0.037475287;0.036121619;0.034862335;0.033687896;0.051028291;0.048550826;0.046302787;0.044253717;0.042378319;0.040655411;0.039067121;0.037598265;0.036235859;0.034968737;0.046907677;0.044805935;0.042884457;0.041121005;0.039496854;0.037996127;0.036605268;0.03531264;0.03410819;0.032983193;0.031881567;0.030896537;0.02997055;0.029098454;0.028275675;0.027498147;0.026762235;0.026064686;0.025402575;0.024773271;0.023637733;0.023091893;0.022570693;0.022072501;0.021595827;0.021139306;0.020701687;0.020281819;0.019878644;0.019491186;0.018419029;0.018085905;0.017764615;0.017454542;0.017155108;0.016865773;0.016586037;0.016315429;0.016053509;0.015799866;0.013758207;0.013571488;0.013389769;0.013212852;0.013040549;0.012872682;0.012709082;0.012549588;0.012394048;0.012242316;0.01083152;0.010715456;0.010601852;0.010490632;0.010381721;0.010275048;0.010170545;0.010068147;0.00996779;0.009869413;0.008217189;0.008150217;0.008084328;0.008019496;0.007955695;0.007892901;0.007831091;0.007770242;0.007710331;0.007651336
ARM;Armenia;0.041309021;0.039670281;0.038156598;0.036754183;0.035451203;0.040902792;0.039295496;0.037809743;0.036432249;0.035151598;0.033957922;0.032842654;0.031798313;0.030818342;0.029896967;0.054522036;0.051703079;0.049161289;0.046857704;0.044760337;0.042842684;0.041082596;0.039461418;0.037963331;0.036574829;0.051773157;0.049224642;0.046915255;0.044812849;0.042890791;0.041126828;0.039502227;0.038001099;0.036609883;0.035316934;0.028156891;0.027385792;0.026655802;0.025963718;0.025306663;0.024682043;0.024087514;0.023520953;0.022980431;0.022464194;0.015548837;0.015310773;0.015079888;0.014855863;0.014638397;0.014427206;0.014222022;0.014022592;0.013828679;0.013640055;0.011777478;0.011640384;0.011506444;0.011375552;0.011247604;0.011122503;0.011000154;0.010880467;0.010763357;0.01064874;0.006113437;0.00607629;0.006039592;0.006003334;0.005967509;0.005932109;0.005897127;0.005862555;0.005828385;0.005794612;0.004982376;0.004957675;0.004933218;0.004909001;0.00488502;0.004861273;0.004837755;0.004814464;0.004791396;0.004768548;0.004717758;0.004695605;0.004673659;0.004651918;0.004630378;0.004609036;0.00458789;0.004566938;0.004546176;0.004525601
AUS;Australia;0.028638923;0.02784157;0.027087414;0.026373037;0.025695372;0.044415326;0.042526497;0.040791766;0.039193014;0.037714855;0.036344141;0.035069568;0.033881363;0.032771036;0.031731172;0.045665481;0.043671214;0.041843843;0.040163258;0.038612456;0.037176962;0.035844377;0.034604017;0.03344663;0.032364158;0.045349944;0.043382548;0.041578756;0.039918974;0.03838662;0.03696756;0.035649678;0.034422526;0.033277046;0.032205348;0.039800248;0.038276821;0.036865718;0.035554959;0.034334208;0.033194501;0.032128027;0.031127948;0.030188249;0.029303624;0.035232603;0.034033513;0.032913356;0.031864586;0.030880589;0.029955544;0.029084308;0.028262318;0.027485513;0.026750268;0.033230543;0.032161789;0.031159639;0.030218055;0.029331708;0.028495876;0.027706359;0.026959412;0.026251682;0.025580159;0.029465644;0.02862227;0.027825831;0.027072516;0.026358914;0.025681965;0.025038917;0.024427284;0.02384482;0.023289486;0.025372805;0.024744956;0.024147429;0.023578079;0.023034959;0.022516297;0.022020478;0.021546024;0.021091584;0.020655918;0.022869403;0.022358087;0.021869135;0.021401111;0.0209527;0.020522694;0.020109983;0.019713544;0.019332433;0.018965779
AUT;Austria;0.014645186;0.014433801;0.01422843;0.014028822;0.013834737;0.02438639;0.023805852;0.023252311;0.022723927;0.022219023;0.021736069;0.021273663;0.020830522;0.020405465;0.019997409;0.026526036;0.025840587;0.025189672;0.024570743;0.023981499;0.023419856;0.022883918;0.02237196;0.021882408;0.021413822;0.029254087;0.02842261;0.027637091;0.026893824;0.026189489;0.025521104;0.024885986;0.024281712;0.023706088;0.023157123;0.027208263;0.026487582;0.025804094;0.025154992;0.024537745;0.023950065;0.023389876;0.022855293;0.022344601;0.021856232;0.025156088;0.024538788;0.023951058;0.023390823;0.022856198;0.022345466;0.021857059;0.021389547;0.020941615;0.02051206;0.024249475;0.02367536;0.023127801;0.022604997;0.022105307;0.02162723;0.021169395;0.020730542;0.020309515;0.019905249;0.022568933;0.022070818;0.021594216;0.021137763;0.020700207;0.020280398;0.019877279;0.019489874;0.01911728;0.018758666;0.019992091;0.019600241;0.019223457;0.018860885;0.018511737;0.018175281;0.017850837;0.017537773;0.017235501;0.016943472;0.018344322;0.01801387;0.017695112;0.01738744;0.017090283;0.016803113;0.016525435;0.016256784;0.015996729;0.015744862
AZE;Azerbaijan;0.227743765;0.185497798;0.156472495;0.135301527;0.119176733;0.03060003;0.02969147;0.028835307;0.028027136;0.027263031;0.026539485;0.02585335;0.025201799;0.024582281;0.023992491;0.031585839;0.030618721;0.029709067;0.028851904;0.028042816;0.027277867;0.026553543;0.025866691;0.025214476;0.024594343;0.03053859;0.029633621;0.028780743;0.027975585;0.02721425;0.026493256;0.025809479;0.02516011;0.024542615;0.023954704;0.0304032;0.029506119;0.02866046;0.027861925;0.02710668;0.0263913;0.025712708;0.025068138;0.024455095;0.023871319;0.031204118;0.030259885;0.029371118;0.02853307;0.027741519;0.026992701;0.026283245;0.025610128;0.024970627;0.024362285;0.033585383;0.032494058;0.031471424;0.030511193;0.029607823;0.028756408;0.027952592;0.027192492;0.026472635;0.025789908;0.023472387;0.022934069;0.02241989;0.021928261;0.02145773;0.021006968;0.020574755;0.020159969;0.019761576;0.019378624;0.019593358;0.019216836;0.018854512;0.018505598;0.018169363;0.017845128;0.017532263;0.017230179;0.016938328;0.0166562;0.016843246;0.01656425;0.016294346;0.016033098;0.015780094;0.015534951;0.015297308;0.015066826;0.014843186;0.014626089
BDI;Burundi;0.049162645;0.046858936;0.044761462;0.042843714;0.041083543;0.086283892;0.079430333;0.073585419;0.068541746;0.064145127;0.060278552;0.056851618;0.053793378;0.051047367;0.048568094;0.165753425;0.142185664;0.124485597;0.110704483;0.099670511;0.090636704;0.083104396;0.076727964;0.071260306;0.066520066;0.198844809;0.165863677;0.142266785;0.124547774;0.110753653;0.099710366;0.090669661;0.083132101;0.076751581;0.071280676;0.150225617;0.130605348;0.11551807;0.103555535;0.093838082;0.085787909;0.079009822;0.073224377;0.068228395;0.063870606;0.10817521;0.09761562;0.088934248;0.081670908;0.075504395;0.070203707;0.065598452;0.061560198;0.057990304;0.054811754;0.079933834;0.074017344;0.06891634;0.06447309;0.060568079;0.057109091;0.054023839;0.051254855;0.048755879;0.046489255;0.057181611;0.05408873;0.051313261;0.048808726;0.0465373;0.044467884;0.042574678;0.040836095;0.039233934;0.037752745;0.041471405;0.039820013;0.038295102;0.036882676;0.035570732;0.034348916;0.033208249;0.032140906;0.031140037;0.030199619;0.031438108;0.030479878;0.029578334;0.02872859;0.027926307;0.027167615;0.026449058;0.025767531;0.025120244;0.024504681
