Code;Country;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099
BEL;Belgium;0.005210539;0.00518353;0.005156799;0.005130343;0.005104157;0.005078237;0.005052579;0.005027179;0.005002033;0.004977137;0.004480833;0.004460844;0.004441034;0.004421398;0.004401935;0.004382643;0.004363519;0.004344562;0.004325768;0.004307137;0.003797965;0.003783595;0.003769333;0.003755179;0.00374113;0.003727186;0.003713346;0.003699608;0.003685971;0.003672435;0.003052949;0.003043657;0.003034421;0.003025241;0.003016117;0.003007047;0.002998032;0.002989071;0.002980163;0.002971308;0.002300085;0.002294806;0.002289552;0.002284322;0.002279116;0.002273934;0.002268774;0.002263639;0.002258526;0.002253437;0.001421829;0.001419811;0.001417798;0.00141579;0.001413789;0.001411793;0.001409803;0.001407818;0.001405839;0.001403865;0.000672407;0.000671955;0.000671504;0.000671053;0.000670603;0.000670154;0.000669705;0.000669257;0.000668809;0.000668362;-0.000256467;-0.000256533;-0.000256599;-0.000256665;-0.000256731;-0.000256797;-0.000256863;-0.000256929;-0.000256995;-0.000257061;-0.001509941;-0.001512225;-0.001514515;-0.001516812;-0.001519116;-0.001521428;-0.001523746;-0.001526071;-0.001528404;-0.001530743
BEN;Benin;0.030101249;0.029221641;0.028391981;0.027608131;0.0268664;0.026163481;0.025496407;0.024862502;0.024259354;0.023684777;0.023795255;0.023242201;0.022714271;0.022209792;0.021727234;0.0212652;0.020822408;0.020397679;0.019989931;0.019598165;0.018217405;0.017891469;0.017576991;0.017273377;0.016980074;0.016696565;0.016422368;0.016157031;0.015900132;0.015651275;0.014026825;0.013832795;0.013644059;0.013460405;0.013281628;0.013107539;0.012937954;0.012772702;0.012611617;0.012454545;0.010077002;0.009976469;0.009877922;0.009781303;0.009686556;0.009593627;0.009502464;0.009413017;0.009325238;0.009239082;0.007187608;0.007136315;0.007085748;0.007035894;0.006986736;0.00693826;0.006890452;0.006843299;0.006796787;0.006750902;0.004702409;0.0046804;0.004658596;0.004636994;0.004615591;0.004594385;0.004573374;0.004552553;0.004531921;0.004511476;0.002259615;0.002254521;0.00224945;0.002244401;0.002239375;0.002234371;0.00222939;0.002224431;0.002219494;0.002214579;0.000464796;0.00046458;0.000464364;0.000464149;0.000463934;0.000463718;0.000463504;0.000463289;0.000463074;0.00046286
BFA;Burkina Faso;0.030954986;0.030025546;0.029150292;0.028324621;0.027544436;0.026806077;0.026106271;0.025442073;0.024810834;0.02421016;0.026542398;0.025856114;0.025204426;0.024584781;0.023994872;0.023432609;0.022896094;0.022383597;0.021893541;0.021424483;0.021412721;0.020963828;0.02053337;0.020120234;0.019723395;0.019341906;0.018974896;0.018621554;0.018281131;0.017952931;0.016500056;0.016232224;0.015972947;0.015721823;0.015478474;0.015242542;0.015013695;0.014791619;0.014576016;0.014366608;0.012481066;0.012327209;0.0121771;0.012030602;0.011887587;0.011747932;0.011611521;0.011478241;0.011347986;0.011220654;0.009322623;0.009236515;0.009151982;0.009068983;0.008987476;0.008907421;0.008828779;0.008751514;0.008675589;0.008600971;0.007035592;0.006986438;0.006937966;0.006890163;0.006843013;0.006796505;0.006750624;0.006705359;0.006660696;0.006616625;0.005164874;0.005138335;0.005112068;0.005086067;0.00506033;0.005034852;0.00500963;0.004984658;0.004959935;0.004935455;0.003543276;0.003530766;0.003518343;0.003506008;0.003493759;0.003481595;0.003469516;0.00345752;0.003445606;0.003433775
BGD;Bangladesh;0.011791796;0.01165437;0.01152011;0.011388909;0.011260662;0.011135272;0.011012643;0.010892686;0.010775313;0.010660444;0.008975883;0.008896033;0.008817592;0.008740521;0.008664787;0.008590353;0.008517187;0.008445257;0.008374532;0.008304982;0.005490883;0.005460897;0.005431238;0.005401899;0.005372875;0.005344162;0.005315754;0.005287646;0.005259834;0.005232312;0.002451319;0.002445324;0.002439359;0.002433423;0.002427516;0.002421638;0.002415787;0.002409965;0.002404171;0.002398405;-0.000320377;-0.00032048;-0.000320583;-0.000320685;-0.000320788;-0.000320891;-0.000320994;-0.000321097;-0.000321201;-0.000321304;-0.002306026;-0.002311356;-0.002316711;-0.00232209;-0.002327495;-0.002332925;-0.00233838;-0.002343861;-0.002349367;-0.0023549;-0.003561996;-0.003574729;-0.003587554;-0.003600471;-0.003613481;-0.003626586;-0.003639786;-0.003653082;-0.003666476;-0.003679969;-0.004407818;-0.004427333;-0.004447022;-0.004466886;-0.004486928;-0.004507152;-0.004527558;-0.00454815;-0.00456893;-0.004589901;-0.004702305;-0.004724521;-0.004746948;-0.004769589;-0.004792447;-0.004815526;-0.004838827;-0.004862355;-0.004886113;-0.004910105
BGR;Bulgaria;-0.005684944;-0.005717447;-0.005750324;-0.005783582;-0.005817226;-0.005851264;-0.005885703;-0.00592055;-0.005955812;-0.005991496;-0.004452096;-0.004472005;-0.004492094;-0.004512364;-0.004532818;-0.004553458;-0.004574287;-0.004595307;-0.004616521;-0.004637932;-0.003612179;-0.003625274;-0.003638464;-0.003651751;-0.003665135;-0.003678618;-0.0036922;-0.003705883;-0.003719667;-0.003733555;-0.003090329;-0.003099909;-0.003109548;-0.003119247;-0.003129007;-0.003138829;-0.003148712;-0.003158658;-0.003168667;-0.003178739;-0.002966031;-0.002974855;-0.002983731;-0.00299266;-0.003001643;-0.00301068;-0.003019772;-0.003028918;-0.003038121;-0.003047379;-0.003769065;-0.003783325;-0.003797692;-0.00381217;-0.003826758;-0.003841458;-0.003856272;-0.003871201;-0.003886245;-0.003901407;-0.004537072;-0.00455775;-0.004578619;-0.004599679;-0.004620934;-0.004642386;-0.004664038;-0.004685893;-0.004707954;-0.004730224;-0.004909249;-0.004933469;-0.004957928;-0.004982632;-0.005007583;-0.005032785;-0.005058242;-0.005083958;-0.005109937;-0.005136182;-0.005341458;-0.005370143;-0.005399137;-0.005428446;-0.005458074;-0.005488029;-0.005518313;-0.005548934;-0.005579896;-0.005611206
BHR;Bahrain;0.049198859;0.046891834;0.044791479;0.042871214;0.041108829;0.039485621;0.037985731;0.03659562;0.03530366;0.034099812;0.024778044;0.024178937;0.023608118;0.023063629;0.02254369;0.022046676;0.021571105;0.021115618;0.020678969;0.020260012;0.01902585;0.018670626;0.018328423;0.017998538;0.017680318;0.017373155;0.017076483;0.016789772;0.016512531;0.016244296;0.014713551;0.014500201;0.014292951;0.014091541;0.013895729;0.013705284;0.013519989;0.013339637;0.013164033;0.012992993;0.01006133;0.009961108;0.009862863;0.009766537;0.009672074;0.009579421;0.009488527;0.009399341;0.009311816;0.009225906;0.006247913;0.006209119;0.006170803;0.006132958;0.006095574;0.006058643;0.006022157;0.005986108;0.005950488;0.005915289;0.003253775;0.003243222;0.003232738;0.003222321;0.003211971;0.003201687;0.003191469;0.003181316;0.003171227;0.003161202;0.000696442;0.000695958;0.000695474;0.00069499;0.000694508;0.000694026;0.000693544;0.000693064;0.000692584;0.000692104;-0.001333549;-0.00133533;-0.001337116;-0.001338906;-0.001340701;-0.001342501;-0.001344305;-0.001346115;-0.00134793;-0.001349749
BHS;Bahamas;0.012959532;0.012793731;0.012632119;0.012474539;0.012320842;0.012170887;0.012024538;0.011881666;0.01174215;0.011605872;0.009939658;0.009841833;0.009745916;0.009651849;0.009559582;0.009469061;0.009380239;0.009293068;0.009207502;0.009123498;0.00719173;0.007140379;0.007089755;0.007039844;0.006990631;0.006942102;0.006894241;0.006847036;0.006800473;0.006754539;0.004811613;0.004788572;0.004765751;0.004743146;0.004720755;0.004698574;0.004676601;0.004654832;0.004633265;0.004611897;0.00308255;0.003073077;0.003063662;0.003054305;0.003045004;0.00303576;0.003026572;0.00301744;0.003008362;0.002999339;0.000815261;0.000814597;0.000813934;0.000813272;0.000812611;0.000811951;0.000811293;0.000810635;0.000809978;0.000809323;-0.001211894;-0.001213364;-0.001214838;-0.001216316;-0.001217797;-0.001219282;-0.00122077;-0.001222263;-0.001223758;-0.001225258;-0.002540583;-0.002547054;-0.002553558;-0.002560095;-0.002566666;-0.002573271;-0.002579909;-0.002586583;-0.00259329;-0.002600033;-0.003540567;-0.003553147;-0.003565817;-0.003578577;-0.003591429;-0.003604374;-0.003617413;-0.003630546;-0.003643775;-0.003657101
BIH;Bosnia and Herzegovina;-0.001119449;-0.001120704;-0.001121961;-0.001123222;-0.001124485;-0.001125751;-0.001127019;-0.001128291;-0.001129565;-0.001130843;-0.002298534;-0.002303829;-0.002309149;-0.002314494;-0.002319863;-0.002325257;-0.002330677;-0.002336121;-0.002341592;-0.002347088;-0.003883066;-0.003898203;-0.003913458;-0.003928834;-0.00394433;-0.00395995;-0.003975693;-0.003991562;-0.004007559;-0.004023684;-0.005449336;-0.005479194;-0.005509381;-0.005539902;-0.005570763;-0.005601971;-0.00563353;-0.005665446;-0.005697726;-0.005730376;-0.00649794;-0.006540439;-0.006583498;-0.006627128;-0.00667134;-0.006716145;-0.006761557;-0.006807587;-0.006854248;-0.006901553;-0.007614603;-0.00767303;-0.00773236;-0.007792616;-0.007853818;-0.007915988;-0.007979151;-0.00804333;-0.00810855;-0.008174836;-0.008530313;-0.008603705;-0.008678372;-0.008754345;-0.00883166;-0.008910354;-0.008990462;-0.009072023;-0.009155079;-0.009239668;-0.008570301;-0.008644386;-0.008719763;-0.008796466;-0.008874531;-0.008953993;-0.009034891;-0.009117265;-0.009201154;-0.009286602;-0.0080167;-0.008081487;-0.008147329;-0.008214254;-0.008282286;-0.008351456;-0.00842179;-0.008493319;-0.008566073;-0.008640085
BLR;Belarus;-0.003386353;-0.003397859;-0.003409444;-0.003421108;-0.003432852;-0.003444677;-0.003456584;-0.003468573;-0.003480646;-0.003492803;-0.003829746;-0.00384447;-0.003859307;-0.003874259;-0.003889327;-0.003904513;-0.003919818;-0.003935243;-0.003950791;-0.003966461;-0.003961694;-0.003977451;-0.003993335;-0.004009345;-0.004025485;-0.004041755;-0.004058157;-0.004074693;-0.004091364;-0.004108172;-0.00416628;-0.004183711;-0.004201288;-0.004219013;-0.004236889;-0.004254916;-0.004273098;-0.004291436;-0.004309931;-0.004328587;-0.004784907;-0.004807912;-0.00483114;-0.004854593;-0.004878275;-0.004902189;-0.004926339;-0.004950728;-0.00497536;-0.005000238;-0.005296989;-0.005325197;-0.005353706;-0.005382523;-0.005411651;-0.005441096;-0.005470864;-0.005500959;-0.005531387;-0.005562153;-0.005616515;-0.005648238;-0.005680322;-0.005712773;-0.005745596;-0.005778799;-0.005812387;-0.005846368;-0.00588075;-0.005915537;-0.005671713;-0.005704065;-0.005736788;-0.005769888;-0.005803373;-0.005837249;-0.005871522;-0.005906201;-0.005941291;-0.005976801;-0.005399603;-0.005428917;-0.005458551;-0.005488511;-0.005518801;-0.005549427;-0.005580395;-0.00561171;-0.005643379;-0.005675408
BLZ;Belize;0.017063168;0.016776901;0.016500081;0.016232247;0.01597297;0.015721846;0.015478495;0.015242563;0.015013716;0.014791638;0.010530631;0.010420892;0.010313417;0.010208136;0.010104983;0.010003894;0.009904808;0.009807665;0.009712409;0.009618985;0.006768671;0.006723165;0.006678266;0.006633962;0.006590243;0.006547096;0.00650451;0.006462475;0.006420979;0.006380014;0.003950374;0.00393483;0.003919408;0.003904106;0.003888923;0.003873858;0.003858909;0.003844075;0.003829355;0.003814747;0.001825101;0.001821776;0.001818464;0.001815163;0.001811874;0.001808597;0.001805332;0.001802079;0.001798837;0.001795607;0.000422029;0.000421851;0.000421673;0.000421496;0.000421318;0.000421141;0.000420963;0.000420786;0.000420609;0.000420432;-0.000354326;-0.000354452;-0.000354577;-0.000354703;-0.000354829;-0.000354955;-0.000355081;-0.000355207;-0.000355333;-0.00035546;-0.000843364;-0.000844076;-0.000844789;-0.000845503;-0.000846219;-0.000846935;-0.000847653;-0.000848372;-0.000849093;-0.000849814;-0.000751867;-0.000752432;-0.000752999;-0.000753566;-0.000754135;-0.000754704;-0.000755274;-0.000755845;-0.000756416;-0.000756989
