Code;Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099
BEL;Belgium;0.012062694;0.01191892;0.011778532;0.011641414;0.011507451;0.016925008;0.01664332;0.016370855;0.016107166;0.015851838;0.015604479;0.01536472;0.015132218;0.014906647;0.014687703;0.020257245;0.019855036;0.019468489;0.019096705;0.018738854;0.018394169;0.018061935;0.017741489;0.017432215;0.01713354;0.021927077;0.021456597;0.021005882;0.020573713;0.020158968;0.019760615;0.0193777;0.019009342;0.018654728;0.018313102;0.019231986;0.018869096;0.018519647;0.018182906;0.017858192;0.017544872;0.017242357;0.016950098;0.016667581;0.016394327;0.017288657;0.016994839;0.016710841;0.016436178;0.016170399;0.015913078;0.015663818;0.015422247;0.015188014;0.014960789;0.015674233;0.015432343;0.015197806;0.01497029;0.014749486;0.014535101;0.014326858;0.014124499;0.013927776;0.013736457;0.013460398;0.013281623;0.013107533;0.012937949;0.012772696;0.012611612;0.01245454;0.012301333;0.012151849;0.012005954;0.011886268;0.011746644;0.011610262;0.011477011;0.011346784;0.011219479;0.011094999;0.010973251;0.010854145;0.010737598;0.010630436;0.010518618;0.010409129;0.010301895;0.010196848;0.010093922;0.009993053;0.00989418;0.009797244;0.009702189
BEN;Benin;0.044703369;0.04279049;0.0410346;0.039417133;0.037922343;0.053305293;0.050607638;0.048169875;0.045956172;0.043936996;0.042087785;0.040387946;0.038820082;0.037369399;0.036023232;0.071886324;0.067065249;0.062850186;0.059133627;0.055832074;0.052879691;0.050223868;0.047822059;0.045639485;0.043647439;0.072377654;0.067492691;0.063225436;0.059465692;0.056128002;0.053145075;0.050463204;0.048039002;0.045837037;0.043828087;0.074525665;0.069356803;0.06485843;0.06090803;0.057411226;0.054294133;0.051498089;0.048975922;0.046689272;0.044606622;0.071072626;0.066356496;0.06222731;0.058581915;0.055339992;0.05243807;0.049825326;0.047460587;0.045310141;0.043346122;0.064494157;0.060586671;0.05712562;0.05403863;0.051268168;0.048767926;0.046500207;0.044434016;0.042543632;0.040807531;0.055945203;0.052981161;0.050315393;0.047905032;0.045715051;0.043716547;0.04188546;0.040201597;0.03864789;0.03720981;0.047965901;0.045770479;0.043767232;0.041931985;0.040244455;0.038687498;0.037246523;0.035909036;0.034664276;0.033502921;0.041037113;0.039419452;0.03792449;0.036538775;0.035250756;0.034050452;0.032929198;0.031879433;0.030894533;0.029968665
BFA;Burkina Faso;0.060009728;0.056612432;0.053579184;0.050854444;0.048393424;0.086706932;0.079788699;0.073892882;0.068808429;0.064378636;0.060484713;0.057034969;0.053957505;0.051195142;0.048701845;0.089708282;0.082323208;0.076061576;0.070685152;0.066018616;0.061930078;0.058318414;0.05510479;0.052226841;0.049634583;0.083234491;0.076838848;0.07135594;0.066603392;0.062444385;0.058774262;0.055511608;0.052592134;0.0499644;0.047586756;0.082006028;0.075790732;0.070451185;0.065814477;0.061750406;0.058159061;0.054962494;0.052099002;0.049519106;0.047182663;0.076234734;0.070834672;0.066149027;0.062044822;0.058420154;0.055195618;0.052308422;0.049708261;0.047354359;0.045213311;0.067926989;0.063606398;0.059802572;0.056428031;0.053413985;0.050705597;0.048258615;0.046036936;0.044010813;0.042155515;0.058722366;0.055465312;0.052550577;0.04992689;0.047552731;0.045394116;0.043422969;0.041615884;0.039953196;0.038418264;0.049743041;0.047385921;0.045242083;0.043283833;0.04148807;0.039835377;0.038309311;0.036895856;0.035582991;0.034360347;0.041811414;0.040133381;0.038584841;0.037151361;0.035820578;0.034581837;0.033425908;0.032344755;0.03133135;0.030379519
BGD;Bangladesh;0.07032273;0.065702361;0.061651699;0.058071493;0.054884281;0.09203785;0.084280824;0.077729701;0.072123558;0.067271685;0.063031453;0.059294062;0.055975072;0.053007949;0.050339552;0.076648924;0.071192125;0.06646065;0.062318895;0.058663077;0.055412415;0.052503091;0.049884026;0.047513844;0.045358679;0.05706436;0.053983809;0.051218822;0.048723273;0.046459609;0.044396944;0.042509646;0.040776261;0.0391787;0.037701601;0.048768341;0.046500585;0.044434361;0.042543948;0.040807822;0.039207836;0.03772858;0.036356886;0.035081434;0.033892439;0.04209012;0.040390096;0.038822069;0.03737124;0.036024943;0.034772274;0.033603794;0.032511291;0.031487589;0.030526387;0.036493859;0.035208949;0.034011442;0.032892713;0.031845237;0.030862416;0.029938443;0.029068187;0.028247095;0.027471116;0.031584879;0.030617819;0.029708218;0.028851103;0.028042059;0.027277151;0.026552865;0.025866047;0.025213864;0.02459376;0.026612974;0.025923083;0.025268057;0.024645318;0.024052536;0.023487599;0.022948592;0.022433769;0.021941537;0.021470443;0.023070686;0.022550432;0.022053124;0.021577278;0.021121533;0.020684641;0.020265458;0.019862926;0.019476074;0.019104003
BGR;Bulgaria;0.028489391;0.027700228;0.026953607;0.026246178;0.025574933;0.036519173;0.035232511;0.034033427;0.032913276;0.03186451;0.030880518;0.029955477;0.029084245;0.028262258;0.027485457;0.039371189;0.037879816;0.036497305;0.035212156;0.034014434;0.032895512;0.03184786;0.03086488;0.029940762;0.029070373;0.026364711;0.025687468;0.025044147;0.024432262;0.023849563;0.023294011;0.022763752;0.022257097;0.021772504;0.021308564;0.017761549;0.017451582;0.017152248;0.01686301;0.016583364;0.016312842;0.016051005;0.01579744;0.015551762;0.015313608;0.015425491;0.01519116;0.014963842;0.014743226;0.014529022;0.014320952;0.014118758;0.013922194;0.013731028;0.013545041;0.013292059;0.013117698;0.012947852;0.012782348;0.012621022;0.012463717;0.012310285;0.012160585;0.012014482;0.011871847;0.009035993;0.008955075;0.008875593;0.00879751;0.008720789;0.008645394;0.008571292;0.008498449;0.008426834;0.008356416;0.007099735;0.007049684;0.007000334;0.00695167;0.006903678;0.006856344;0.006809655;0.006763597;0.006718158;0.006673325;0.005628365;0.005596864;0.005565713;0.005534907;0.005504441;0.005474308;0.005444503;0.005415021;0.005385856;0.005357004
BHR;Bahrain;0.064785686;0.060843874;0.057354221;0.054243148;0.051452217;0.067026806;0.062816422;0.059103737;0.055805428;0.052855788;0.050202305;0.047802509;0.045621678;0.043631152;0.041807062;0.059088181;0.055791559;0.052843347;0.050191082;0.047792333;0.045612409;0.043622674;0.041799278;0.040122199;0.038574505;0.044966396;0.043031428;0.041256118;0.039621489;0.038111457;0.036712298;0.035412233;0.034201096;0.033070063;0.032011443;0.031914873;0.030927816;0.029999982;0.029126197;0.028301871;0.027522921;0.0267857;0.026086943;0.025423716;0.024793376;0.027559676;0.026820512;0.026119961;0.025455076;0.024823199;0.024221933;0.023649106;0.023102747;0.022581062;0.022082418;0.022849435;0.022339001;0.021850874;0.021383624;0.020935937;0.020506612;0.020094541;0.019698705;0.019318162;0.018952043;0.0162855;0.016024532;0.015771797;0.015526909;0.015289511;0.015059262;0.014835845;0.01461896;0.014408326;0.014203674;0.011690009;0.011554932;0.011422941;0.011293931;0.011167802;0.01104446;0.010923812;0.010805772;0.010690256;0.010577183;0.008408363;0.008338252;0.008269301;0.00820148;0.008134763;0.008069123;0.008004533;0.007940969;0.007878407;0.007816823
BHS;Bahamas;-0.006362906;-0.006403652;-0.006444923;-0.00648673;-0.006529082;0.029294081;0.028460361;0.027672784;0.026927621;0.026221538;0.025551537;0.024914923;0.024309259;0.023732344;0.023182176;0.022785216;0.022277616;0.021792139;0.02132737;0.020882011;0.020454873;0.020044858;0.019650957;0.019272239;0.018907843;0.017871368;0.01755759;0.01725464;0.016961967;0.016679058;0.016405431;0.016140636;0.015884254;0.01563589;0.015395173;0.015815422;0.015569189;0.015330505;0.01509903;0.01487444;0.014656434;0.014444726;0.014239046;0.014039142;0.013844774;0.013540919;0.013360012;0.013183876;0.013012323;0.012845177;0.012682271;0.012523446;0.012368549;0.012217437;0.012069973;0.012844385;0.012681498;0.012522692;0.012367814;0.01221672;0.012069273;0.011925342;0.011784805;0.011647541;0.011513437;0.010878411;0.010761345;0.010646771;0.010534612;0.010424791;0.010317236;0.010211877;0.010108649;0.010007487;0.009908329;0.008784216;0.008707725;0.008632556;0.008558672;0.008486043;0.008414636;0.008344421;0.008275368;0.008207448;0.008140634;0.007137109;0.007086532;0.007036666;0.006987498;0.006939011;0.006891193;0.00684403;0.006797507;0.006751613;0.006706335
BIH;Bosnia and Herzegovina;0.034118874;0.032993184;0.031939401;0.030950849;0.030021654;0.033899875;0.032788354;0.031747409;0.030770524;0.029851964;0.028986655;0.028170098;0.027398286;0.026667638;0.025974948;0.043537614;0.041721174;0.040050231;0.038507978;0.037080098;0.035754324;0.034520082;0.033368209;0.032290725;0.03128065;0.030088988;0.029210086;0.028381072;0.027597817;0.026856632;0.026154218;0.02548761;0.024854137;0.02425139;0.023677185;0.018329771;0.017999838;0.017681572;0.017374366;0.017077653;0.016790904;0.016513625;0.016245355;0.015985662;0.015734142;0.011850853;0.011712055;0.011576471;0.01144399;0.011314506;0.011187921;0.011064136;0.01094306;0.010824606;0.010708689;0.007488802;0.007433137;0.007378293;0.007324252;0.007270998;0.007218512;0.007166778;0.007115781;0.007065504;0.007015933;0.004444689;0.004425021;0.004405527;0.004386203;0.004367049;0.00434806;0.004329237;0.004310575;0.004292074;0.004273731;0.002330622;0.002325203;0.002319809;0.00231444;0.002309096;0.002303776;0.002298481;0.00229321;0.002287963;0.00228274;0.001925132;0.001921433;0.001917748;0.001914077;0.00191042;0.001906778;0.001903149;0.001899534;0.001895932;0.001892345
BLR;Belarus;0.084269152;0.077719772;0.07211501;0.067264248;0.063024924;0.048534183;0.04628765;0.044239889;0.042365638;0.04064374;0.039056344;0.037588283;0.036226588;0.034960103;0.033779179;0.033020928;0.031965401;0.030975264;0.030044624;0.029168274;0.028341599;0.027560491;0.026821283;0.026120692;0.02545577;0.022730646;0.022225447;0.021742217;0.021279552;0.020836168;0.020410883;0.020002612;0.019610354;0.019233184;0.018870249;0.01383575;0.013646935;0.013463203;0.013284353;0.013110193;0.01294054;0.012775222;0.012614074;0.012456941;0.012303675;0.01183269;0.011694315;0.011559139;0.011427052;0.01129795;0.011171732;0.011048303;0.010927572;0.010809451;0.010693856;0.011907596;0.011767473;0.01163061;0.011496894;0.011366218;0.011238479;0.011113579;0.010991425;0.010871927;0.010755;0.008049145;0.007984874;0.007921621;0.007859362;0.007798074;0.007737734;0.007678322;0.007619814;0.007562192;0.007505434;0.006915398;0.006867904;0.006821057;0.006774846;0.006729256;0.006684276;0.006639893;0.006596096;0.006552872;0.006510212;0.006828322;0.006782012;0.006736326;0.006691252;0.006646776;0.006602888;0.006559576;0.006516829;0.006474635;0.006432983
BLZ;Belize;0.025863014;0.025210982;0.024591018;0.024000814;0.023438276;0.026686075;0.025992439;0.025333947;0.024707996;0.024112231;0.023544521;0.023002928;0.022485691;0.021991204;0.021517997;0.039908081;0.038376547;0.036958218;0.035640991;0.034414426;0.033269476;0.032198257;0.031193869;0.030250247;0.029362038;0.039063783;0.037595173;0.036232988;0.034966063;0.033784744;0.032680637;0.031646412;0.030675638;0.02976265;0.028902437;0.036200787;0.034936074;0.033756746;0.032654438;0.031621845;0.030652554;0.029740919;0.028881944;0.028071193;0.027304717;0.032967192;0.031915042;0.030927975;0.030000132;0.029126338;0.028302004;0.027523046;0.026785819;0.026087056;0.025423823;0.030630435;0.029720095;0.028862305;0.028052641;0.027287164;0.026562353;0.025875051;0.025222419;0.0246019;0.024011179;0.027974705;0.027213417;0.026492467;0.02580873;0.025159398;0.024541937;0.023954058;0.023393685;0.02285893;0.022348077;0.025377113;0.024749054;0.024151331;0.023581799;0.02303851;0.02251969;0.022023722;0.02154913;0.021094561;0.020658773;0.023352175;0.022819295;0.022310192;0.02182331;0.021357225;0.020910632;0.020482333;0.020071228;0.0196763;0.019296614
