Code;Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099
AFG;Afghanistan;0.132889326;0.117301243;0.104986228;0.095011345;0.086767453;0.058855439;0.055584018;0.052657123;0.050023053;0.047639957;0.045473597;0.043495691;0.041682675;0.040014753;0.038475178;0.085226447;0.07853333;0.072814931;0.067872779;0.063558863;0.05976055;0.056390616;0.053380459;0.050675384;0.048231247;0.107183732;0.096807539;0.088263014;0.081104487;0.075020027;0.069784771;0.065232534;0.061237835;0.057704157;0.054556046;0.101173542;0.091877927;0.084146702;0.077615605;0.072025317;0.067186209;0.062956406;0.059227647;0.055915881;0.052954863;0.083803107;0.077323184;0.071773433;0.066966983;0.062763876;0.059057216;0.055763952;0.052818579;0.050168738;0.047772073;0.065547826;0.061515612;0.057950737;0.054776404;0.051931768;0.049368001;0.04704546;0.044931631;0.042999589;0.041226852;0.050131587;0.047738386;0.045563269;0.043577725;0.041758006;0.040084171;0.038539353;0.037109189;0.035781371;0.034545293;0.037988557;0.036598243;0.035306101;0.03410209;0.032977488;0.031924692;0.030937037;0.030008658;0.029134374;0.028309592;0.028806281;0.027999713;0.027237083;0.026514894;0.025830014;0.025179624;0.024561183;0.023972393;0.023411171;0.022875626
AGO;Angola;0.156814607;0.13555725;0.119375091;0.106644406;0.096367365;0.07427396;0.069138751;0.064667707;0.060739803;0.057261736;0.054160417;0.051377775;0.048867093;0.046590357;0.044516326;0.035082333;0.033893278;0.032782182;0.031741623;0.030765089;0.029846848;0.028981832;0.028165543;0.027393976;0.026663556;0.030897899;0.029971833;0.029099663;0.028276817;0.027499226;0.026763257;0.026065655;0.025403497;0.024774147;0.024175226;0.052907248;0.050248726;0.047844596;0.045660012;0.043666212;0.04183925;0.040159027;0.038608545;0.037173337;0.035841007;0.061477352;0.057916782;0.054746066;0.051904499;0.049343357;0.04702308;0.044911216;0.042980892;0.041209664;0.039578642;0.054527342;0.05170785;0.049165603;0.046861623;0.044763913;0.04284596;0.041085608;0.039464197;0.037965904;0.036577216;0.042641457;0.040897527;0.039290637;0.037805245;0.036428072;0.035147709;0.033954294;0.03283926;0.031795131;0.030815353;0.031828541;0.030846735;0.029923687;0.029054276;0.028233958;0.027458691;0.026724861;0.026029234;0.025368901;0.024741242;0.023192211;0.022666524;0.02216414;0.021683543;0.021223346;0.020782277;0.020359167;0.019952941;0.01956261;0.019187257
ALB;Albania;0.056077204;0.053099531;0.050422139;0.048001786;0.045803153;0.024066001;0.02350044;0.02296085;0.022445482;0.021952742;0.021481172;0.021029435;0.020596306;0.020180659;0.019781456;0.034759622;0.033591977;0.03250023;0.031477214;0.030516635;0.029612947;0.028761242;0.02795716;0.027196814;0.026476731;0.035506982;0.034289466;0.033152678;0.032088847;0.031091167;0.030153655;0.029271027;0.0284386;0.02765221;0.02690814;0.026571716;0.025883936;0.025230862;0.024609932;0.02401883;0.023455457;0.022917907;0.022404444;0.021913485;0.021443581;0.017967152;0.017650031;0.01734391;0.017048227;0.016762457;0.016486109;0.016218726;0.015959877;0.015709161;0.0154662;0.011372998;0.011245107;0.011120061;0.010997765;0.01087813;0.01076107;0.010646502;0.010534348;0.010424532;0.010316983;0.005981205;0.005945643;0.005910501;0.005875773;0.00584145;0.005807525;0.005773993;0.005740845;0.005708076;0.005675679;0.001298927;0.001297242;0.001295561;0.001293885;0.001292213;0.001290545;0.001288882;0.001287223;0.001285568;0.001283917;-0.002287539;-0.002292784;-0.002298053;-0.002303346;-0.002308664;-0.002314006;-0.002319373;-0.002324765;-0.002330182;-0.002335624
ARE;Algeria;0.033880649;0.032770368;0.031730546;0.030754683;0.029837054;0.068592012;0.064189149;0.060317425;0.056886196;0.053824335;0.051075244;0.048593328;0.046341443;0.044289025;0.042410697;0.04687394;0.044775152;0.042856256;0.041095075;0.039472932;0.037973988;0.03658472;0.035293516;0.034090348;0.032966508;0.034719387;0.033554399;0.032465054;0.031444216;0.030485619;0.029583741;0.02873369;0.027931126;0.027172177;0.026453381;0.019352729;0.018985312;0.018631585;0.018290799;0.017962255;0.017645305;0.017339347;0.017043818;0.016758195;0.016481986;0.012241104;0.012093071;0.011948576;0.011807493;0.011669703;0.011535092;0.011403551;0.011274977;0.011149269;0.011026333;0.008014321;0.007950602;0.007887888;0.007826157;0.007765383;0.007705547;0.007646626;0.007588598;0.007531445;0.007475147;0.002229122;0.002224164;0.002219228;0.002214314;0.002209422;0.002204551;0.002199701;0.002194873;0.002190066;0.002185281;-0.001222049;-0.001223544;-0.001225043;-0.001226546;-0.001228052;-0.001229562;-0.001231076;-0.001232593;-0.001234114;-0.001235639;-0.004157362;-0.004174718;-0.004192219;-0.004209868;-0.004227666;-0.004245615;-0.004263717;-0.004281974;-0.004300388;-0.004318961
ARG;Argentina;0.077021064;0.071513053;0.066740254;0.062564672;0.058880813;0.048409361;0.046174102;0.044136155;0.042270497;0.040556168;0.038975472;0.037513371;0.036157;0.034895291;0.033718668;0.043364817;0.041562468;0.039903961;0.038372737;0.036954684;0.035637704;0.034411362;0.033266613;0.032195575;0.031191352;0.036815968;0.035508681;0.034291051;0.03315416;0.032090235;0.031092471;0.030154881;0.029272182;0.02843969;0.02765324;0.025008804;0.024398623;0.023817509;0.023263432;0.022734548;0.022229178;0.021745787;0.021282972;0.020839447;0.02041403;0.017348177;0.01705235;0.016766443;0.016489965;0.016222457;0.01596349;0.015712661;0.015469593;0.01523393;0.01500534;0.012094886;0.011950348;0.011809224;0.011671394;0.011536744;0.011405165;0.011276554;0.011150812;0.011027842;0.010907555;0.007393708;0.007339442;0.007285967;0.007233266;0.007181321;0.007130118;0.007079639;0.00702987;0.006980796;0.006932402;0.004264929;0.004246817;0.004228858;0.00421105;0.004193391;0.00417588;0.004158515;0.004141293;0.004124213;0.004107274;0.001444814;0.001442729;0.001440651;0.001438579;0.001436512;0.001434451;0.001432397;0.001430348;0.001428305;0.001426268
ARM;Armenia;0.041309021;0.039670281;0.038156598;0.036754183;0.035451203;0.042011483;0.040317677;0.038755159;0.037309234;0.035967321;0.034718586;0.033553651;0.032464353;0.031443559;0.030485002;0.046814443;0.044720861;0.042806517;0.041049337;0.039430732;0.03793493;0.036548466;0.035259776;0.034058868;0.032937068;0.043788181;0.041951214;0.040262167;0.038703865;0.037261694;0.035923137;0.034677415;0.033515195;0.032428352;0.031409785;0.025504656;0.024870346;0.024266822;0.023691895;0.02314358;0.02262007;0.022119721;0.021641027;0.021182614;0.020743218;0.014028379;0.013834307;0.01364553;0.013461836;0.013283022;0.013108897;0.012939277;0.012773991;0.012612874;0.012455771;0.010081371;0.009980751;0.00988212;0.00978542;0.009690593;0.009597587;0.009506349;0.009416829;0.00932898;0.009242754;0.004046671;0.004030361;0.004014183;0.003998133;0.003982212;0.003966417;0.003950747;0.0039352;0.003919775;0.00390447;0.002199809;0.002194981;0.002190173;0.002185387;0.002180621;0.002175877;0.002171153;0.002166449;0.002161766;0.002157102;0.000390281;0.000390129;0.000389977;0.000389825;0.000389673;0.000389521;0.000389369;0.000389218;0.000389066;0.000388915
AUS;Australia;0.028638923;0.02784157;0.027087414;0.026373037;0.025695372;0.0400226;0.038482433;0.037056412;0.035732301;0.034499553;0.033349026;0.032272761;0.031263792;0.030315999;0.029423982;0.033829981;0.032722963;0.0316861;0.030712927;0.029797751;0.028935537;0.028121817;0.027352612;0.026624366;0.025933893;0.030553972;0.029648104;0.028794405;0.027988493;0.027226465;0.026504832;0.025820465;0.02517055;0.024552549;0.023964167;0.025579971;0.024941957;0.024334994;0.023756871;0.023205579;0.022679293;0.022176349;0.021695228;0.02123454;0.02079301;0.021200143;0.020760027;0.020337814;0.019932432;0.019542894;0.01916829;0.018807777;0.018460575;0.018125959;0.017803258;0.018944217;0.018592006;0.018252653;0.017925466;0.017609802;0.017305063;0.017010692;0.016726168;0.016451006;0.016184751;0.014900692;0.014681921;0.014469481;0.014263102;0.014062526;0.013867514;0.013677837;0.013493278;0.013313633;0.013138709;0.011171761;0.011048332;0.0109276;0.010809478;0.010693883;0.010580734;0.010469954;0.01036147;0.010255211;0.010151109;0.00882814;0.008750886;0.008674972;0.008600364;0.008527029;0.008454933;0.008384047;0.008314339;0.008245781;0.008178344
AUT;Austria;0.014645186;0.014433801;0.01422843;0.014028822;0.013834737;0.022372916;0.021883322;0.021414697;0.020965723;0.020535188;0.020121979;0.019725071;0.019343519;0.018976448;0.018623049;0.018641539;0.018300391;0.017971506;0.017654233;0.017347968;0.017052148;0.016766247;0.016489775;0.016222274;0.015963313;0.018740226;0.01839549;0.018063209;0.017742718;0.017433402;0.017134686;0.016846035;0.016566947;0.016296957;0.016035625;0.01571239;0.01546933;0.015233675;0.015005093;0.014783268;0.014567907;0.01435873;0.014155476;0.013957895;0.013765754;0.012425252;0.01227276;0.012123965;0.011978736;0.011836944;0.01169847;0.011563198;0.011431019;0.011301828;0.011175524;0.010778329;0.010663395;0.010550887;0.010440728;0.010332846;0.01022717;0.010123634;0.010022173;0.009922726;0.009825233;0.008603654;0.008530262;0.008458112;0.008387173;0.008317413;0.008248804;0.008181318;0.008114928;0.008049606;0.007985327;0.006200964;0.006162749;0.006125002;0.006087715;0.006050879;0.006014486;0.005978528;0.005942998;0.005907887;0.005873189;0.004598957;0.004577903;0.004557041;0.004536369;0.004515883;0.004495582;0.004475462;0.004455521;0.004435758;0.004416169
AZE;Azerbaijan;0.227743765;0.185497798;0.156472495;0.135301527;0.119176733;0.030308813;0.029417213;0.02857657;0.027782637;0.027031627;0.026320151;0.025645166;0.025003936;0.02439399;0.023813094;0.022557392;0.022059781;0.02158365;0.021127639;0.020690497;0.020271079;0.019868326;0.019481266;0.019108999;0.018750692;0.018525071;0.018188135;0.017863236;0.01754974;0.017247059;0.016954641;0.016671974;0.016398577;0.016134003;0.01587783;0.019606803;0.019229769;0.018866962;0.018517591;0.018180924;0.01785628;0.017543027;0.017240575;0.016948376;0.016665915;0.019236222;0.018873173;0.018523575;0.018186692;0.017861844;0.017548397;0.017245762;0.016953388;0.016670762;0.016397405;0.023722348;0.023172639;0.022647829;0.022146264;0.021666433;0.021206954;0.020766559;0.020344082;0.019938453;0.019548682;0.01554219;0.015304327;0.015073636;0.014849795;0.014632505;0.014421483;0.014216461;0.014017186;0.01382342;0.013634939;0.011875134;0.011735771;0.01159964;0.011466631;0.011336638;0.011209559;0.011085298;0.010963761;0.010844861;0.010728512;0.008992586;0.00891244;0.00883371;0.008756359;0.008680351;0.008605651;0.008532225;0.008460042;0.00838907;0.008319279
BDI;Burundi;0.049162645;0.046858936;0.044761462;0.042843714;0.041083543;0.081818182;0.075630252;0.0703125;0.065693431;0.061643836;0.058064516;0.054878049;0.052023121;0.049450549;0.047120419;0.132017544;0.116621465;0.10444136;0.094564876;0.086394948;0.079524439;0.073666177;0.068611808;0.064206485;0.060332732;0.155290305;0.134416695;0.118489701;0.105937231;0.095789551;0.08741601;0.080388747;0.074407242;0.069254226;0.064768719;0.127626039;0.113181174;0.101673633;0.092290158;0.084492346;0.077909582;0.072278402;0.067406377;0.063149685;0.059398678;0.095551714;0.087217895;0.080221173;0.074263655;0.069129822;0.064659895;0.060732911;0.057255611;0.054154937;0.051372844;0.071069592;0.066353851;0.062224984;0.058579853;0.055338152;0.052436418;0.049823834;0.047459233;0.045308907;0.043344993;0.050061262;0.047674611;0.04550517;0.043524577;0.041709201;0.040039198;0.038497778;0.037070641;0.035745531;0.034511885;0.03495911;0.033778253;0.032674563;0.031640716;0.030670287;0.029757612;0.028897686;0.028086064;0.027318787;0.026592317;0.025084748;0.024470901;0.02388638;0.023329131;0.022797291;0.022289158;0.021803183;0.021337948;0.020892153;0.020464603
