Code;Country;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099
AFG;Afghanistan;0.025860255;0.025208361;0.024588524;0.023998438;0.02343601;0.022899341;0.022386701;0.02189651;0.021427326;0.020977828;0.020587654;0.020172352;0.019773475;0.019390066;0.019021243;0.018666188;0.018324147;0.017994414;0.017676339;0.017369313;0.015368917;0.015136289;0.014910598;0.014691538;0.014478822;0.014272178;0.014071349;0.013876094;0.013686183;0.0135014;0.010324103;0.010218605;0.010115241;0.010013948;0.009914663;0.009817327;0.009721884;0.009628279;0.00953646;0.009446375;0.006389622;0.006349054;0.006308998;0.006269444;0.006230383;0.006191806;0.006153703;0.006116067;0.006078888;0.006042158;0.003692149;0.003678567;0.003665085;0.003651701;0.003638415;0.003625225;0.00361213;0.003599129;0.003586222;0.003573407;0.001320277;0.001318536;0.0013168;0.001315068;0.001313341;0.001311619;0.001309901;0.001308187;0.001306478;0.001304773;-0.000830818;-0.000831509;-0.000832201;-0.000832894;-0.000833588;-0.000834283;-0.00083498;-0.000835678;-0.000836377;-0.000837077;-0.002799901;-0.002807763;-0.002815669;-0.002823619;-0.002831614;-0.002839655;-0.002847742;-0.002855875;-0.002864054;-0.00287228
AGO;Angola;0.0288292;0.028021366;0.027257572;0.026534311;0.02584844;0.025197134;0.024577843;0.023988263;0.023426306;0.022890077;0.021430093;0.020980479;0.020549344;0.020135571;0.019738133;0.01935608;0.018988536;0.018634691;0.018293792;0.017965141;0.015595047;0.015355576;0.015123348;0.01489804;0.014679346;0.01446698;0.014260672;0.014060164;0.013865217;0.013675602;0.010839634;0.010723397;0.010609625;0.010498243;0.010389175;0.01028235;0.010177699;0.010075157;0.009974661;0.00987615;0.007120262;0.007069922;0.007020289;0.006971349;0.006923085;0.006875486;0.006828536;0.006782224;0.006736535;0.006691458;0.004151491;0.004134327;0.004117305;0.004100422;0.004083678;0.004067069;0.004050595;0.004034254;0.004018044;0.004001964;0.001465533;0.001463389;0.00146125;0.001459118;0.001456992;0.001454872;0.001452759;0.001450651;0.00144855;0.001446455;-0.000949562;-0.000950464;-0.000951369;-0.000952275;-0.000953182;-0.000954092;-0.000955003;-0.000955916;-0.00095683;-0.000957747;-0.00314695;-0.003156885;-0.003166882;-0.003176943;-0.003187068;-0.003197258;-0.003207514;-0.003217835;-0.003228223;-0.003238678
ALB;Albania;0.001266441;0.001264839;0.001263241;0.001261647;0.001260058;0.001258472;0.00125689;0.001255312;0.001253738;0.001252169;-0.000579915;-0.000580251;-0.000580588;-0.000580926;-0.000581263;-0.000581601;-0.00058194;-0.000582279;-0.000582618;-0.000582957;-0.002011274;-0.002015327;-0.002019397;-0.002023483;-0.002027586;-0.002031706;-0.002035842;-0.002039995;-0.002044165;-0.002048352;-0.003460921;-0.003472941;-0.003485044;-0.003497232;-0.003509506;-0.003521866;-0.003534313;-0.003546849;-0.003559474;-0.003572189;-0.005015264;-0.005040543;-0.005066079;-0.005091875;-0.005117935;-0.005144263;-0.005170863;-0.00519774;-0.005224898;-0.005252341;-0.006753826;-0.006799751;-0.006846304;-0.006893499;-0.006941349;-0.006989868;-0.00703907;-0.00708897;-0.007139582;-0.007190923;-0.009017924;-0.009099987;-0.009183557;-0.009268676;-0.009355388;-0.009443738;-0.009533773;-0.00962554;-0.009719092;-0.00981448;-0.012643872;-0.012805786;-0.012971902;-0.013142383;-0.013317406;-0.013497153;-0.013681819;-0.013871607;-0.014066736;-0.014267432;-0.01576604;-0.01601859;-0.016279362;-0.016548765;-0.016827235;-0.017115237;-0.01741327;-0.017721865;-0.018041596;-0.018373076
ARE;Algeria;0.045752952;0.043751205;0.041917274;0.040230904;0.038674975;0.037234915;0.035898247;0.034654221;0.033493529;0.032408069;0.019274463;0.018909983;0.018559032;0.018220871;0.017894812;0.017580217;0.017276492;0.016983084;0.016699476;0.016425184;0.013320369;0.013145269;0.012974713;0.012808526;0.012646543;0.012488605;0.012334563;0.012184276;0.012037606;0.011894426;0.007684478;0.007625878;0.007568164;0.007511317;0.007455318;0.007400147;0.007345787;0.00729222;0.007239429;0.007187396;0.00284816;0.002840071;0.002832027;0.00282403;0.002816077;0.002808169;0.002800305;0.002792485;0.002784709;0.002776976;-0.001686083;-0.001688931;-0.001691788;-0.001694655;-0.001697532;-0.001700418;-0.001703315;-0.001706221;-0.001709137;-0.001712063;-0.005902975;-0.005938027;-0.005973498;-0.006009395;-0.006045726;-0.006082499;-0.006119722;-0.006157404;-0.006195552;-0.006234177;-0.008693001;-0.008769232;-0.008846812;-0.008925776;-0.009006163;-0.009088011;-0.009171361;-0.009256253;-0.009342732;-0.009430842;-0.011568384;-0.011703778;-0.011842378;-0.011984301;-0.012129666;-0.012278602;-0.01243124;-0.012587721;-0.012748192;-0.012912807
ARG;Argentina;0.006511068;0.006468948;0.00642737;0.006386323;0.006345796;0.006305781;0.006266267;0.006227246;0.006188707;0.006150643;0.003640616;0.00362741;0.003614299;0.003601283;0.00358836;0.00357553;0.003562791;0.003550143;0.003537584;0.003525113;0.001694536;0.001691669;0.001688812;0.001685965;0.001683127;0.001680299;0.001677481;0.001674671;0.001671872;0.001669081;-0.000427268;-0.000427451;-0.000427634;-0.000427817;-0.000428;-0.000428183;-0.000428366;-0.00042855;-0.000428734;-0.000428918;-0.002204459;-0.002209329;-0.002214221;-0.002219135;-0.00222407;-0.002229028;-0.002234007;-0.002239009;-0.002244034;-0.002249081;-0.003656691;-0.003670111;-0.00368363;-0.00369725;-0.00371097;-0.003724793;-0.003738719;-0.003752749;-0.003766885;-0.003781128;-0.005182877;-0.005209879;-0.005237164;-0.005264736;-0.005292601;-0.005320761;-0.005349223;-0.005377991;-0.00540707;-0.005436466;-0.007525269;-0.007582328;-0.007640259;-0.007699081;-0.007758817;-0.007819487;-0.007881113;-0.007943719;-0.008007327;-0.008071962;-0.009671998;-0.009766459;-0.009862784;-0.009961027;-0.010061248;-0.010163505;-0.010267863;-0.010374385;-0.010483142;-0.010594202
ARM;Armenia;-0.002464708;-0.002470798;-0.002476918;-0.002483068;-0.002489249;-0.002495461;-0.002501704;-0.002507978;-0.002514284;-0.002520621;-0.005071095;-0.005096942;-0.005123054;-0.005149435;-0.005176089;-0.00520302;-0.005230233;-0.005257732;-0.005285522;-0.005313607;-0.006256397;-0.006295786;-0.006335674;-0.006376071;-0.006416986;-0.00645843;-0.006500412;-0.006542944;-0.006586036;-0.0066297;-0.008335042;-0.008405099;-0.008476343;-0.008548806;-0.008622518;-0.008697512;-0.008773823;-0.008851484;-0.008930533;-0.009011006;-0.009845045;-0.009942933;-0.010042788;-0.010144669;-0.010248638;-0.01035476;-0.010463103;-0.010573737;-0.010686736;-0.010802176;-0.01014222;-0.010246139;-0.010352209;-0.010460499;-0.010571077;-0.010684019;-0.0107994;-0.0109173;-0.011037803;-0.011160996;-0.011126266;-0.011251453;-0.011379489;-0.011510472;-0.011644506;-0.011781698;-0.011922161;-0.012066014;-0.012213381;-0.012364392;-0.012218794;-0.01236994;-0.012524871;-0.012683734;-0.012846677;-0.013013862;-0.013185456;-0.013361635;-0.013542586;-0.013728506;-0.013284278;-0.013463126;-0.013646855;-0.013835668;-0.01402978;-0.014229415;-0.014434814;-0.01464623;-0.01486393;-0.0150882
AUS;Australia;0.016954785;0.016672113;0.016398712;0.016134133;0.015877956;0.015629787;0.015389256;0.015156016;0.014929741;0.014710123;0.014124341;0.013927623;0.013736309;0.013550179;0.013369027;0.013192654;0.013020874;0.01285351;0.012690394;0.012531366;0.011750226;0.011613762;0.011480431;0.011350126;0.011222747;0.011098195;0.010976377;0.010857204;0.010740591;0.010626457;0.010168626;0.010066266;0.009965946;0.009867606;0.009771188;0.009676636;0.009583896;0.009492917;0.009403649;0.009316044;0.008319631;0.008250985;0.008183464;0.008117038;0.008051682;0.007987371;0.007924078;0.007861781;0.007800455;0.007740079;0.005533039;0.005502593;0.00547248;0.005442695;0.005413232;0.005384087;0.005355254;0.005326728;0.005298504;0.005270578;0.002653908;0.002646883;0.002639896;0.002632945;0.002626031;0.002619153;0.002612311;0.002605504;0.002598733;0.002591997;-0.000560451;-0.000560765;-0.00056108;-0.000561395;-0.00056171;-0.000562026;-0.000562342;-0.000562658;-0.000562975;-0.000563292;-0.002946412;-0.002955119;-0.002963877;-0.002972688;-0.002981551;-0.002990467;-0.002999437;-0.003008461;-0.003017539;-0.003026672
AUT;Austria;0.004059632;0.004043218;0.004026937;0.004010785;0.003994763;0.003978869;0.0039631;0.003947456;0.003931935;0.003916535;0.003696903;0.003683286;0.003669769;0.003656351;0.003643031;0.003629808;0.00361668;0.003603646;0.003590707;0.00357786;0.002928488;0.002919937;0.002911436;0.002902984;0.002894581;0.002886227;0.00287792;0.002869662;0.00286145;0.002853286;0.00235918;0.002353627;0.0023481;0.0023426;0.002337125;0.002331675;0.002326251;0.002320852;0.002315479;0.00231013;0.001194057;0.001192633;0.001191212;0.001189795;0.001188381;0.00118697;0.001185563;0.001184159;0.001182758;0.001181361;-0.001017984;-0.001019021;-0.001020061;-0.001021102;-0.001022146;-0.001023192;-0.00102424;-0.00102529;-0.001026342;-0.001027397;-0.002933361;-0.002941991;-0.002950672;-0.002959404;-0.002968188;-0.002977025;-0.002985914;-0.002994856;-0.003003852;-0.003012903;-0.005090647;-0.005116694;-0.005143009;-0.005169596;-0.00519646;-0.005223604;-0.005251033;-0.005278752;-0.005306765;-0.005335077;-0.006762492;-0.006808534;-0.006855208;-0.006902527;-0.006950503;-0.00699915;-0.007048484;-0.007098517;-0.007149267;-0.007200747
AZE;Azerbaijan;0.009087535;0.009005695;0.008925316;0.00884636;0.008768788;0.008692565;0.008617655;0.008544026;0.008471644;0.008400478;0.003441101;0.0034293;0.00341758;0.00340594;0.003394379;0.003382896;0.003371491;0.003360162;0.003348909;0.003337731;0.001227717;0.001226211;0.00122471;0.001223211;0.001221717;0.001220226;0.001218739;0.001217256;0.001215776;0.001214299;-0.001591066;-0.001593601;-0.001596145;-0.001598697;-0.001601256;-0.001603825;-0.001606401;-0.001608986;-0.001611579;-0.00161418;-0.003904987;-0.003920296;-0.003935725;-0.003951276;-0.003966951;-0.00398275;-0.003998676;-0.00401473;-0.004030913;-0.004047227;-0.005472671;-0.005502786;-0.005533234;-0.005564021;-0.005595152;-0.005626634;-0.005658472;-0.005690673;-0.005723242;-0.005756186;-0.007724948;-0.007785087;-0.007846171;-0.00790822;-0.007971258;-0.00803531;-0.008100399;-0.008166551;-0.008233793;-0.008302151;-0.009473645;-0.009564254;-0.009656612;-0.009750771;-0.009846785;-0.009944709;-0.010044599;-0.010146517;-0.010250524;-0.010356685;-0.009910846;-0.010010054;-0.010111268;-0.01021455;-0.010319964;-0.010427576;-0.010537457;-0.010649677;-0.010764314;-0.010881445
BDI;Burundi;0.027942621;0.027183055;0.026463691;0.02578142;0.025133444;0.024517241;0.023930531;0.023371244;0.022837504;0.022327597;0.018260549;0.017933081;0.017617151;0.01731216;0.017017549;0.016732798;0.016457419;0.016190958;0.015932988;0.015683109;0.012697686;0.012538477;0.01238321;0.012231742;0.012083934;0.011939656;0.011798783;0.011661195;0.011526779;0.011395426;0.008946785;0.00886745;0.008789509;0.008712927;0.008637668;0.008563697;0.008490983;0.008419493;0.008349197;0.008280065;0.005137492;0.005111233;0.005085241;0.005059512;0.005034043;0.005008828;0.004983865;0.004959149;0.004934677;0.004910446;0.001788758;0.001785564;0.001782381;0.00177921;0.00177605;0.001772901;0.001769764;0.001766637;0.001763522;0.001760417;-0.001034208;-0.001035278;-0.001036351;-0.001037426;-0.001038504;-0.001039583;-0.001040665;-0.001041749;-0.001042836;-0.001043924;-0.003379498;-0.003390957;-0.003402495;-0.003414112;-0.003425808;-0.003437584;-0.003449442;-0.003461382;-0.003473405;-0.003485511;-0.005314831;-0.005343229;-0.005371933;-0.005400946;-0.005430275;-0.005459924;-0.005489898;-0.005520204;-0.005550846;-0.005581829
