Code;Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099
AFG;Afghanistan;0.132889326;0.117301243;0.104986228;0.095011345;0.086767453;0.066138518;0.062035577;0.058411958;0.055188301;0.052301851;0.049702327;0.047348973;0.045208401;0.043253002;0.041459744;0.064700558;0.060768783;0.057287492;0.054183458;0.051398509;0.048885849;0.046607407;0.044531891;0.042633347;0.040890067;0.061682958;0.058099226;0.054909053;0.052050983;0.049475723;0.047143275;0.045020845;0.043081289;0.041301948;0.039663757;0.06072829;0.057251504;0.054151263;0.051369538;0.048859641;0.046583583;0.044510142;0.042613413;0.040871729;0.039266826;0.055549933;0.052626532;0.049995445;0.047614916;0.045450781;0.043474817;0.041663504;0.039997085;0.038458843;0.037034538;0.050087891;0.04769876;0.045527171;0.043544704;0.041727684;0.04005623;0.038513524;0.03708524;0.035759105;0.034524539;0.044359373;0.0424752;0.040744567;0.03914944;0.037674504;0.036306668;0.035034676;0.033848794;0.032740566;0.031702604;0.037640283;0.036274886;0.03500508;0.033821168;0.032714718;0.031678369;0.030705663;0.029790914;0.02892909;0.028115727;0.031977416;0.030986546;0.030055238;0.029178278;0.028351043;0.027569422;0.026829741;0.026128714;0.025463389;0.024831105
AGO;Angola;0.156814607;0.13555725;0.119375091;0.106644406;0.096367365;0.073751089;0.068685462;0.06427098;0.060389676;0.056950456;0.05388186;0.05112704;0.04864021;0.046384079;0.044327967;0.027021368;0.026310425;0.025635932;0.024995158;0.024385635;0.023805132;0.023251624;0.022723271;0.022218397;0.021735469;0.003441674;0.003429869;0.003418146;0.003406502;0.003394937;0.00338345;0.003372041;0.003360709;0.003349452;0.003338271;0.009720058;0.009626488;0.009534703;0.009444651;0.009356284;0.009269555;0.00918442;0.009100834;0.009018756;0.008938145;0.023869723;0.023313242;0.022782117;0.022274653;0.021789304;0.021324655;0.020879409;0.020452375;0.020042459;0.019648652;0.031211524;0.03026685;0.02937768;0.028539263;0.027747373;0.026998243;0.0262885;0.025615117;0.02497537;0.0243668;0.032250959;0.031243331;0.03029676;0.029405858;0.028565854;0.027772509;0.027022039;0.02631106;0.025636536;0.024995732;0.029520689;0.028674207;0.027874916;0.027118976;0.026402955;0.025723772;0.025078654;0.024465102;0.023880855;0.023323861;0.026416334;0.02573647;0.025090724;0.024476588;0.023891799;0.0233343;0.022802226;0.022293876;0.021807698;0.021342272
ALB;Albania;0.056077204;0.053099531;0.050422139;0.048001786;0.045803153;0.026331228;0.025655683;0.025013933;0.024403506;0.023822161;0.02326787;0.022738787;0.02223323;0.021749665;0.021286687;0.024316305;0.023739059;0.023188584;0.02266306;0.022160828;0.021680373;0.021220308;0.020779364;0.020356371;0.019950257;0.016104597;0.015849349;0.015602067;0.015362382;0.01512995;0.014904446;0.014685566;0.014473022;0.014266542;0.01406587;0.012711145;0.0125516;0.01239601;0.01224423;0.012096123;0.011951555;0.011810402;0.011672545;0.011537869;0.011406265;0.010472792;0.01036425;0.010257934;0.010153777;0.010051714;0.009951683;0.009853623;0.009757476;0.009663188;0.009570704;0.009932171;0.009834493;0.009738717;0.009644789;0.009552656;0.009462266;0.009373571;0.009286523;0.009201077;0.009117189;0.010157844;0.0100557;0.009955589;0.009857453;0.009761232;0.009666871;0.009574318;0.009483519;0.009394427;0.009306993;0.009086329;0.009004511;0.008924153;0.008845217;0.008767665;0.008691462;0.008616571;0.00854296;0.008470596;0.008399448;0.009576462;0.009485624;0.009396492;0.00930902;0.009223161;0.009138872;0.009056109;0.008974832;0.008895001;0.008816578
ARE;Algeria;0.033880649;0.032770368;0.031730546;0.030754683;0.029837054;0.061402456;0.057850305;0.054686665;0.051851101;0.049295096;0.046979249;0.044871232;0.04294427;0.041175997;0.039547586;0.036600589;0.035308285;0.034104127;0.032979394;0.031926478;0.030938714;0.030010235;0.029135861;0.028310996;0.027531551;0.025246176;0.024624502;0.024032708;0.023468692;0.022930542;0.022416519;0.021925036;0.021454642;0.021004009;0.020571916;0.009949654;0.009851633;0.009755525;0.009661275;0.009568827;0.009478133;0.009389141;0.009301805;0.009216079;0.009131919;0.002835012;0.002826997;0.002819028;0.002811103;0.002803223;0.002795387;0.002787594;0.002779845;0.002772139;0.002764476;0.002067037;0.002062773;0.002058527;0.002054298;0.002050086;0.002045892;0.002041715;0.002037555;0.002033412;0.002029285;0.001783322;0.001780148;0.001776985;0.001773832;0.001770692;0.001767562;0.001764443;0.001761335;0.001758238;0.001755152;0.001823207;0.001819889;0.001816583;0.001813289;0.001810007;0.001806737;0.001803478;0.001800232;0.001796997;0.001793773;0.001374756;0.001372869;0.001370986;0.001369109;0.001367237;0.001365371;0.001363509;0.001361652;0.001359801;0.001357954
ARG;Argentina;0.077021064;0.071513053;0.066740254;0.062564672;0.058880813;0.050905626;0.04843977;0.046201767;0.044161431;0.042293681;0.040577509;0.038995182;0.037531629;0.036173961;0.034911089;0.031736037;0.030759842;0.02984191;0.028977175;0.028161145;0.027389816;0.026659614;0.025967335;0.025310099;0.024685312;0.019163391;0.01880306;0.01845603;0.018121578;0.017799032;0.017487766;0.017187201;0.016896792;0.016616034;0.016344454;0.013567124;0.013385521;0.013208715;0.013036519;0.012868756;0.012705255;0.012545856;0.012390408;0.012238765;0.012090789;0.012603456;0.012446586;0.012293573;0.012144276;0.011998562;0.011856304;0.011717379;0.011581672;0.011449073;0.011319475;0.012907286;0.012742811;0.012582475;0.012426123;0.01227361;0.012124795;0.011979545;0.011837735;0.011699242;0.011563953;0.012369346;0.012218215;0.012070732;0.011926767;0.011786196;0.0116489;0.011514765;0.011383685;0.011255555;0.011130278;0.011157745;0.011034623;0.010914189;0.010796356;0.010681039;0.01056816;0.010457642;0.010349412;0.010243399;0.010139535;0.010480739;0.010372032;0.010265558;0.010161247;0.010059034;0.009958858;0.009860657;0.009764374;0.009669953;0.00957734
ARM;Armenia;0.041309021;0.039670281;0.038156598;0.036754183;0.035451203;0.044248664;0.042373685;0.040651146;0.039063183;0.037594617;0.036232471;0.034965582;0.033784294;0.032680216;0.031646018;0.031228841;0.030283134;0.029393021;0.02855374;0.027761058;0.027011199;0.026300783;0.025626779;0.024986456;0.024377353;0.019463813;0.019092205;0.018734522;0.018389994;0.01805791;0.017737605;0.017428466;0.017129918;0.016841426;0.01656249;0.011696384;0.011561161;0.011429028;0.011299881;0.01117362;0.01105015;0.010929379;0.010811219;0.010695587;0.010582402;0.008924886;0.008845937;0.008768372;0.008692156;0.008617254;0.008543631;0.008471256;0.008400096;0.008330123;0.008261305;0.011136696;0.011014036;0.010894049;0.010776647;0.01066175;0.010549276;0.01043915;0.0103313;0.010225656;0.01012215;0.010417836;0.010310423;0.010205203;0.010102109;0.010001077;0.009902046;0.009804957;0.009709753;0.009616381;0.009524787;0.011428627;0.01129949;0.011173238;0.011049776;0.010929013;0.010810861;0.010695236;0.010582058;0.010471251;0.01036274;0.012698218;0.012538995;0.012383716;0.012232235;0.012084416;0.011940126;0.011799242;0.011661643;0.011527217;0.011395854
AUS;Australia;0.028638923;0.02784157;0.027087414;0.026373037;0.025695372;0.034915182;0.03373724;0.032636186;0.031604728;0.03063647;0.029725778;0.028867664;0.028057703;0.027291954;0.026566892;0.020720274;0.02029966;0.019895782;0.019507662;0.019134395;0.018775144;0.018429134;0.018095647;0.017774015;0.017463616;0.012039677;0.011896447;0.011756586;0.011619974;0.011486502;0.01135606;0.011228548;0.011103868;0.010981926;0.010862633;0.007403252;0.007348846;0.007295235;0.0072424;0.007190324;0.007138993;0.007088389;0.007038497;0.006989303;0.006940792;0.00443005;0.004410511;0.004391144;0.004371946;0.004352916;0.00433405;0.004315347;0.004296805;0.004278421;0.004260194;0.003822246;0.003807692;0.003793248;0.003778914;0.003764687;0.003750568;0.003736553;0.003722644;0.003708837;0.003695132;0.001208583;0.001207124;0.001205669;0.001204217;0.001202768;0.001201323;0.001199882;0.001198444;0.001197009;0.001195578;-0.0004052;-0.000405364;-0.000405529;-0.000405693;-0.000405858;-0.000406023;-0.000406188;-0.000406353;-0.000406518;-0.000406683;-0.000766457;-0.000767045;-0.000767634;-0.000768224;-0.000768814;-0.000769406;-0.000769998;-0.000770592;-0.000771186;-0.000771781
AUT;Austria;0.014645186;0.014433801;0.01422843;0.014028822;0.013834737;0.018880916;0.018531033;0.018193882;0.017868779;0.017555091;0.017252227;0.016959636;0.016676803;0.016403249;0.016138525;0.00986319;0.009766858;0.009672389;0.00957973;0.009488829;0.009399638;0.009312107;0.009226192;0.009141848;0.009059031;0.006626688;0.006583064;0.006540011;0.006497517;0.006455572;0.006414164;0.006373285;0.006332924;0.00629307;0.006253715;0.003725958;0.003712127;0.003698398;0.00368477;0.003671243;0.003657814;0.003644483;0.003631249;0.003618111;0.003605067;0.00034958;0.000349458;0.000349336;0.000349214;0.000349092;0.00034897;0.000348849;0.000348727;0.000348605;0.000348484;-0.001205208;-0.001206663;-0.001208121;-0.001209582;-0.001211047;-0.001212515;-0.001213987;-0.001215463;-0.001216942;-0.001218425;-0.003391098;-0.003402637;-0.003414255;-0.003425952;-0.003437729;-0.003449588;-0.003461529;-0.003473552;-0.00348566;-0.003497852;-0.005207002;-0.005234257;-0.005261798;-0.005289631;-0.00531776;-0.00534619;-0.005374925;-0.005403971;-0.005433333;-0.005463015;-0.006128504;-0.006166294;-0.006204553;-0.00624329;-0.006282513;-0.006322233;-0.006362458;-0.006403198;-0.006444463;-0.006486263
AZE;Azerbaijan;0.227743765;0.185497798;0.156472495;0.135301527;0.119176733;0.031720284;0.030745042;0.02982798;0.028964041;0.02814874;0.027378081;0.026648496;0.025956787;0.025300078;0.024675779;0.019410497;0.019040904;0.018685122;0.018342393;0.018012009;0.017693317;0.017385706;0.017088609;0.016801494;0.016523869;0.002243845;0.002238821;0.00223382;0.002228841;0.002223885;0.00221895;0.002214037;0.002209146;0.002204276;0.002199428;-0.001033343;-0.001034412;-0.001035483;-0.001036556;-0.001037632;-0.00103871;-0.00103979;-0.001040872;-0.001041956;-0.001043043;0.003754516;0.003740472;0.003726533;0.003712698;0.003698965;0.003685333;0.003671801;0.003658368;0.003645033;0.003631795;0.012027406;0.011884467;0.011744885;0.011608544;0.011475332;0.011345143;0.011217875;0.01109343;0.010971716;0.010852644;0.012181724;0.012035116;0.011891994;0.011752237;0.011615726;0.01148235;0.011352003;0.011224581;0.011099988;0.010978131;0.014808976;0.014592871;0.014382982;0.014179045;0.01398081;0.013788042;0.013600518;0.013418026;0.013240366;0.01306735;0.017152279;0.016863039;0.016583393;0.01631287;0.016051032;0.015797466;0.015551787;0.015313633;0.015082662;0.014858556
BDI;Burundi;0.049162645;0.046858936;0.044761462;0.042843714;0.041083543;0.079767601;0.073874786;0.068792738;0.0643649;0.060472588;0.057024188;0.053947855;0.051186456;0.048693983;0.046432977;0.069340938;0.064844556;0.060895795;0.057400355;0.05428441;0.051489342;0.048968011;0.046682082;0.044600059;0.042695823;0.055624579;0.052693524;0.050055902;0.04766975;0.045500741;0.043520525;0.04170548;0.040035769;0.038494608;0.037067701;0.049781176;0.047420527;0.045273627;0.043312704;0.041514595;0.03985983;0.038331926;0.036916833;0.035602501;0.034378539;0.044563961;0.04266274;0.040917104;0.039308706;0.037821973;0.036443604;0.035162168;0.033967787;0.032851881;0.031806963;0.041589854;0.039929204;0.038396079;0.036976333;0.035657837;0.034430133;0.033284155;0.032212006;0.031206773;0.030262382;0.036616051;0.035322674;0.034117551;0.032991946;0.031938242;0.030949761;0.030020629;0.029145658;0.028320246;0.027540298;0.031096567;0.030158734;0.029275812;0.028443117;0.02765648;0.026912184;0.026206899;0.025537637;0.024901706;0.024296677;0.02718092;0.026461668;0.025779499;0.025131618;0.024515504;0.023928876;0.023369666;0.022835996;0.022326156;0.021838585
