Code;Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099
AFG;Afghanistan;0.132889326;0.117301243;0.104986228;0.095011345;0.086767453;0.064849478;0.060900136;0.057404211;0.05428786;0.051492445;0.048970818;0.046684633;0.044602387;0.042697956;0.040949497;0.060825935;0.05733828;0.054228889;0.051439388;0.048922828;0.046641017;0.044562574;0.042661469;0.040915935;0.039307627;0.053717979;0.050979465;0.048506623;0.046262581;0.044216989;0.042344637;0.040624411;0.039038495;0.037571751;0.036211231;0.051445422;0.048928286;0.046645978;0.044567102;0.042665619;0.040919752;0.03931115;0.037824236;0.036445705;0.035164123;0.046086605;0.044056204;0.042197157;0.040488651;0.038913112;0.037455598;0.036103326;0.034845295;0.033671985;0.032575116;0.041244695;0.039610953;0.038101708;0.036703251;0.035403816;0.034193245;0.033062723;0.032004565;0.031012038;0.03007922;0.036530359;0.035242923;0.034043143;0.032922362;0.031873027;0.030888516;0.029963004;0.02909134;0.028268958;0.027491793;0.031230028;0.03028425;0.029394072;0.028554732;0.027761996;0.027012087;0.026301625;0.025627578;0.024987216;0.024378076;0.027167284;0.026448743;0.025767232;0.02511996;0.024504411;0.023918307;0.023359585;0.02282637;0.022316955;0.021829781
AGO;Angola;0.156814607;0.13555725;0.119375091;0.106644406;0.096367365;0.074452303;0.06929326;0.064802859;0.060859021;0.05736768;0.054255186;0.051463048;0.048944229;0.046660468;0.044580329;0.030715033;0.029799733;0.028937406;0.028123582;0.027354282;0.026625948;0.025935394;0.025279753;0.024656445;0.024063133;0.014237088;0.014037238;0.013842922;0.013653912;0.013469994;0.013290965;0.013116632;0.012946813;0.012781336;0.012620035;0.028011732;0.027248455;0.026525672;0.025840242;0.025189343;0.02457043;0.023981202;0.023419572;0.022883647;0.022371701;0.046363305;0.044308993;0.042429007;0.040702059;0.039110194;0.037638158;0.036272912;0.035003243;0.033819452;0.032713113;0.052850828;0.050197831;0.047798453;0.045617984;0.043627773;0.041803959;0.040126512;0.038578492;0.037145475;0.035815106;0.050770002;0.04831695;0.046090021;0.044059326;0.042200021;0.040491288;0.038915547;0.037457854;0.036105423;0.034847248;0.044396527;0.042509264;0.04077591;0.039178376;0.0377013;0.036331553;0.035057847;0.033870423;0.032760801;0.031721577;0.038159101;0.036756506;0.035453364;0.03423946;0.033105931;0.03204505;0.03105005;0.030114978;0.029234579;0.028404195
ALB;Albania;0.056077204;0.053099531;0.050422139;0.048001786;0.045803153;0.023625993;0.023080689;0.022559989;0.022062264;0.021586028;0.021129917;0.020692682;0.020273176;0.019870341;0.019483203;0.026598339;0.025909197;0.025254864;0.024632767;0.024040581;0.023476199;0.022937709;0.022423369;0.021931588;0.021460916;0.023332032;0.02280006;0.022291806;0.021805717;0.021340375;0.020894479;0.020466835;0.020056345;0.019661997;0.019282858;0.018791422;0.018444818;0.018110768;0.017788603;0.017477699;0.017177476;0.016887393;0.016606945;0.01633566;0.016073095;0.014754535;0.014540004;0.014331622;0.014129129;0.013932278;0.013740837;0.013554586;0.013373316;0.01319683;0.013024943;0.010765658;0.010650993;0.010538745;0.010428838;0.0103212;0.010215761;0.010112454;0.010011216;0.009911985;0.009814702;0.006768431;0.006722927;0.006678031;0.006633731;0.006590015;0.006546871;0.006504288;0.006462255;0.006420763;0.0063798;0.003397486;0.003385982;0.003374556;0.003363207;0.003351934;0.003340736;0.003329612;0.003318563;0.003307586;0.003296682;0.001587844;0.001585327;0.001582818;0.001580316;0.001577823;0.001575337;0.00157286;0.00157039;0.001567927;0.001565473
ARE;Algeria;0.033880649;0.032770368;0.031730546;0.030754683;0.029837054;0.069074187;0.06461122;0.060689967;0.057217442;0.054120789;0.051342113;0.04883483;0.04656103;0.044489551;0.042594539;0.048081228;0.045875478;0.043863232;0.042020094;0.040325609;0.038762488;0.037316026;0.035973633;0.034724467;0.033559144;0.038013968;0.036621827;0.03532805;0.034122566;0.032996636;0.031942636;0.030953888;0.030024512;0.029149318;0.028323702;0.020515358;0.020102939;0.019706775;0.019325923;0.018959513;0.018606739;0.018266852;0.01793916;0.017623018;0.017317826;0.011882332;0.0117428;0.011606507;0.011473341;0.011343197;0.011215972;0.011091569;0.010969896;0.010850863;0.010734386;0.008044389;0.007980193;0.007917014;0.007854827;0.00779361;0.007733339;0.007673993;0.007615552;0.007557993;0.007501299;0.003792627;0.003778297;0.003764076;0.003749961;0.003735951;0.003722046;0.003708243;0.003694543;0.003680944;0.003667444;0.000670962;0.000670512;0.000670062;0.000669614;0.000669166;0.000668718;0.000668271;0.000667825;0.000667379;0.000666934;-0.001953037;-0.001956859;-0.001960695;-0.001964547;-0.001968414;-0.001972297;-0.001976194;-0.001980107;-0.001984036;-0.00198798
ARG;Argentina;0.077021064;0.071513053;0.066740254;0.062564672;0.058880813;0.048150069;0.045938144;0.043920517;0.042072664;0.040374021;0.038807218;0.037357478;0.036012155;0.034760359;0.033592666;0.034599833;0.03344272;0.032360497;0.031346121;0.030393406;0.029496895;0.028651757;0.027853699;0.027098895;0.02638392;0.025194742;0.024575567;0.023986095;0.023424239;0.022888103;0.022375959;0.021886234;0.021417486;0.020968396;0.020537752;0.017085807;0.016798786;0.016521249;0.016252733;0.015992807;0.015741063;0.015497122;0.015260626;0.01503124;0.014808647;0.013734315;0.013548239;0.013367138;0.013190815;0.013019082;0.012851764;0.012688692;0.012529707;0.012374656;0.012223395;0.010185589;0.010082889;0.009982239;0.009883579;0.00978685;0.009691996;0.009598963;0.009507699;0.009418154;0.00933028;0.006862533;0.006815759;0.006769619;0.006724099;0.006679188;0.006634872;0.006591141;0.006547982;0.006505385;0.006463339;0.005396786;0.005367817;0.005339158;0.005310802;0.005282747;0.005254986;0.005227515;0.005200331;0.005173427;0.005146801;0.004454229;0.004434477;0.004414899;0.004395493;0.004376258;0.004357189;0.004338287;0.004319547;0.004300969;0.00428255
ARM;Armenia;0.041309021;0.039670281;0.038156598;0.036754183;0.035451203;0.040843397;0.039240675;0.037758987;0.036385121;0.035107723;0.033916975;0.032804351;0.031762406;0.030784612;0.029865223;0.034518789;0.033367001;0.032289594;0.031279589;0.030330852;0.029437973;0.02859616;0.027801154;0.027049156;0.026336769;0.028545056;0.027752849;0.027003427;0.026293415;0.025619783;0.024979806;0.024371022;0.023791206;0.023238338;0.022710582;0.017724366;0.017415684;0.01711757;0.01682949;0.016550946;0.016281472;0.016020633;0.015768019;0.015523248;0.01528596;0.011801128;0.011663486;0.011529017;0.011397614;0.011269172;0.011143593;0.011020782;0.010900648;0.010783105;0.01066807;0.010538994;0.010429082;0.010321439;0.010215995;0.010112684;0.010011441;0.009912206;0.009814918;0.009719522;0.009625962;0.005865043;0.005830844;0.005797043;0.005763631;0.005730602;0.005697949;0.005665666;0.005633747;0.005602186;0.005570976;0.004933146;0.004908929;0.004884949;0.004861203;0.004837686;0.004814395;0.004791328;0.00476848;0.00474585;0.004723433;0.004572128;0.004551319;0.004530698;0.004510263;0.004490012;0.004469942;0.004450051;0.004430336;0.004410794;0.004391425
AUS;Australia;0.028638923;0.02784157;0.027087414;0.026373037;0.025695372;0.038750584;0.037304994;0.03596338;0.034714915;0.033550222;0.032461143;0.031440547;0.030482171;0.029580493;0.028730627;0.032789707;0.031748677;0.030771716;0.029853085;0.028987712;0.028171097;0.02739923;0.026668533;0.025975797;0.025318138;0.029407651;0.028567547;0.027774109;0.027023554;0.026312497;0.025637899;0.024997028;0.024387415;0.023806828;0.023253242;0.02452258;0.023935617;0.023376095;0.022842135;0.022332024;0.021844199;0.021377231;0.020929809;0.020500733;0.020088896;0.020366964;0.019960431;0.019569809;0.019194182;0.018832704;0.018484589;0.01814911;0.017825592;0.017513405;0.017211965;0.018088648;0.017767262;0.017457097;0.017157576;0.016868159;0.016588344;0.016317661;0.01605567;0.015801959;0.015556141;0.013940921;0.013749244;0.013562767;0.013381279;0.013204585;0.013032496;0.012864835;0.012701434;0.012542131;0.012386774;0.010431413;0.010323722;0.010218232;0.010114876;0.010013589;0.009914312;0.009816983;0.009721547;0.009627948;0.009536135;0.007811336;0.007750792;0.00769118;0.007632477;0.007574663;0.007517719;0.007461625;0.007406361;0.00735191;0.007298254
AUT;Austria;0.014645186;0.014433801;0.01422843;0.014028822;0.013834737;0.021053731;0.020619611;0.020203032;0.019802953;0.019418411;0.019048519;0.018692455;0.018349459;0.018018823;0.017699892;0.017858176;0.017544857;0.017242343;0.016950084;0.016667567;0.016394314;0.016129875;0.015873833;0.015625791;0.015385383;0.017277538;0.016984094;0.016700452;0.016426128;0.016160671;0.015903657;0.015654691;0.015413399;0.015179432;0.014952462;0.013847935;0.013658789;0.01347474;0.013295586;0.013121132;0.012951198;0.012785609;0.012624201;0.012466817;0.01231331;0.010405905;0.010298737;0.010193755;0.010090891;0.009990082;0.009891267;0.009794388;0.009699389;0.009606214;0.009514813;0.008528479;0.008456359;0.008385449;0.008315718;0.008247137;0.008179678;0.008113314;0.008048018;0.007983764;0.007920528;0.006062739;0.006026204;0.005990106;0.005954439;0.005919193;0.005884363;0.005849939;0.005815917;0.005782287;0.005749045;0.003910977;0.003895741;0.003880623;0.003865622;0.003850736;0.003835965;0.003821307;0.00380676;0.003792323;0.003777996;0.002269032;0.002263896;0.002258782;0.002253691;0.002248624;0.002243579;0.002238556;0.002233556;0.002228579;0.002223623
AZE;Azerbaijan;0.227743765;0.185497798;0.156472495;0.135301527;0.119176733;0.029830475;0.028966394;0.028150962;0.027380183;0.026650488;0.025958677;0.025301873;0.024677487;0.024083175;0.023516815;0.021654513;0.021195534;0.020755608;0.020333572;0.019928357;0.019538978;0.019164522;0.01880415;0.01845708;0.01812259;0.010311875;0.010206625;0.010103503;0.010002443;0.009903385;0.00980627;0.009711041;0.009617643;0.009526025;0.009436136;0.010510818;0.01040149;0.010294413;0.010189518;0.010086739;0.009986012;0.009887278;0.009790477;0.009695553;0.009602451;0.015261688;0.01503227;0.014809647;0.014593522;0.014383615;0.01417966;0.013981408;0.013788624;0.013601084;0.013418577;0.020017422;0.019624588;0.019246876;0.018883429;0.018533454;0.018196215;0.01787103;0.017557263;0.017254325;0.016961663;0.014081735;0.013886193;0.013696008;0.013510962;0.013330849;0.013155476;0.012984656;0.012818216;0.012655989;0.012497817;0.012832528;0.012669941;0.012511422;0.01235682;0.012205993;0.012058803;0.011915121;0.011774823;0.01163779;0.01150391;0.011729816;0.011593823;0.011460947;0.011331082;0.011204127;0.011079985;0.010958565;0.010839776;0.010723535;0.010609761
BDI;Burundi;0.049162645;0.046858936;0.044761462;0.042843714;0.041083543;0.082410572;0.076136148;0.07074955;0.066074789;0.061979506;0.058362243;0.05514392;0.052261989;0.049666328;0.047316301;0.067824132;0.063516201;0.059722833;0.056357032;0.053350364;0.05064826;0.048206676;0.045989667;0.043967611;0.042115877;0.046286097;0.044238471;0.042364337;0.040642543;0.039055239;0.037587259;0.036225637;0.034959217;0.033778352;0.032674656;0.038819639;0.037368988;0.036022851;0.034770324;0.033601973;0.032509587;0.03148599;0.030524884;0.029620715;0.028768569;0.033293018;0.032220307;0.031214564;0.030269708;0.029380373;0.028541804;0.027749775;0.027000517;0.026290656;0.025617164;0.029731365;0.028872933;0.028062681;0.027296663;0.026571354;0.025883592;0.025230535;0.024609621;0.024018534;0.023455175;0.025268111;0.024645369;0.024052584;0.023487645;0.022948636;0.022433811;0.021941577;0.021470481;0.021019189;0.020586478;0.020817542;0.02039301;0.019985446;0.019593854;0.019217313;0.018854971;0.01850604;0.018169789;0.01784554;0.01753266;0.018112816;0.017790579;0.017479607;0.017179319;0.016889174;0.016608668;0.016337327;0.016074709;0.0158204;0.015574013
